post_id,commentUser,timestamp,comments,likes
1,wilsonjunior5055,2023-06-05 12:27:24+00:00,"I have a proposal for u, send me a DM please!",0.0
1,mariavmh,2023-06-04 16:46:40+00:00,Woaaaah,0.0
1,mariavmh,2023-06-04 16:46:34+00:00,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,0.0
1,stylemesoftly_,2023-06-04 15:44:54+00:00,:red_heart:️:red_heart:️:red_heart:️,0.0
1,jillviv,2023-06-04 15:06:03+00:00,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: so glad you made it! @kilianparis,0.0
1,sevdalaland,2023-06-04 08:39:28+00:00,:fire::fire::fire:,0.0
1,grace.hanna92,2023-06-03 22:47:32+00:00,This is perfection :smiling_face_with_heart-eyes:,0.0
1,vivi__1988,2023-06-03 22:47:21+00:00,The best ever :fire:,0.0
1,samar.helou1,2023-06-03 22:47:06+00:00,You're so gorgeous :smiling_face_with_heart-eyes:,0.0
1,maria.boutros9,2023-06-03 22:46:31+00:00,Stunning as usual :red_heart:️,0.0
2,scarlett.jones_95,2023-06-05 11:29:58+00:00,Hey Tina I just want to make sure you got my message :),0.0
2,tropichics,2023-05-08 01:29:45+00:00,All the colors! these are stunning!,0.0
2,nabeelageorge,2023-04-23 10:33:41+00:00,How did moccona get your home address though ?,0.0
2,madisonstyleblog,2023-04-16 11:01:27+00:00,So pretty :smiling_face_with_heart-eyes:,0.0
2,rolly.mag,2023-02-06 01:44:58+00:00,Just caught up on this. Beautiful words :red_heart:️,0.0
2,antgeorgopoulos,2023-02-01 09:11:56+00:00,@cristinadalton22,0.0
3,stylesprinter,2023-06-03 01:45:35+00:00,love this monochrome look :fire::fire::fire:,0.0
3,gibz_photography,2023-05-30 14:43:44+00:00,:smiling_face_with_heart-eyes:,0.0
3,annkurtoglyan,2023-05-30 13:42:55+00:00,"Mary, this is incredible :smiling_face_with_heart-eyes:",0.0
3,ileniatoma_,2023-05-30 09:33:28+00:00,The drama:fire:,0.0
3,gabrielaaamedinaaa,2023-05-30 06:38:53+00:00,Love this look :smiling_face_with_heart-eyes:,0.0
3,valyamihei,2023-05-30 02:39:04+00:00,:white_heart:,0.0
3,verivanovaa,2023-05-30 02:29:51+00:00,:red_heart:️:red_heart:️,0.0
3,zaharova_zoya_,2023-05-30 02:28:48+00:00,:broken_heart:,0.0
3,sashasergeva,2023-05-30 02:27:17+00:00,Love this look,0.0
4,pellelannefors,2023-05-31 17:23:45+00:00,:OK_hand_medium_skin_tone::white_heart::smiling_face_with_sunglasses:,0.0
4,talitakalloe,2023-04-27 13:46:38+00:00,"Zo terecht, you are one of a kind :red_heart:️:clapping_hands_medium-dark_skin_tone::raising_hands_medium-dark_skin_tone:",0.0
4,i.amivana,2023-04-16 11:09:17+00:00,babe what size are you wearing in the denim?,0.0
4,bysiss,2023-04-03 08:03:22+00:00,:butterfly::butterfly::two_hearts::two_hearts:,0.0
4,joewest7114,2023-04-02 17:27:36+00:00,:white_heart::heart_exclamation:️:heart_on_fire::tulip::collision:,0.0
4,fabio__montedoro,2023-03-29 19:34:51+00:00,Nice!!:black_heart:,0.0
4,lenalovefrank,2023-03-25 15:18:32+00:00,:fire:,0.0
4,riot_fox_,2023-03-20 19:39:58+00:00,Love it:red_heart:️,0.0
4,carolineebo,2023-03-11 12:17:48+00:00,Obsessed,0.0
5,burttled,2023-05-24 19:58:32+00:00,"Маша, ты королева :broken_heart:",0.0
5,cassaundrarose,2023-05-24 11:49:09+00:00,:heart_on_fire::heart_on_fire::heart_on_fire:,0.0
5,tatyanakochnova_official,2023-05-24 07:29:00+00:00,Perfect match :broken_heart:🫦,0.0
5,amooooreeee_,2023-05-24 07:15:06+00:00,Gorgeous :red_heart:️:red_heart:️:red_heart:️,0.0
5,myrluka,2023-05-24 07:10:01+00:00,Dreams come true:smiling_face_with_heart-eyes::fire:,0.0
5,sweetmatchaicecreamira,2023-05-24 04:34:15+00:00,Si belle :red_heart:️:smiling_face_with_heart-eyes:,0.0
5,amalia_roumy,2023-05-24 02:58:50+00:00,Love it so much :smiling_face_with_heart-eyes:,0.0
5,christellehawa,2023-05-24 02:58:22+00:00,Wow so beautiful :hundred_points:,0.0
5,noha_rached,2023-05-24 02:58:04+00:00,So elegant and classy :fire:,0.0
5,jane_elhajj,2023-05-24 02:57:42+00:00,Red suits you so much :red_heart:️,0.0
6,ajgul_agayeva,2023-06-06 11:10:16+00:00,Derde foto!!! Smelt :smiling_face_with_heart-eyes:,0.0
6,josephinebredsted,2023-06-06 07:03:45+00:00,Olive:smiling_face_with_heart-eyes::olive::red_heart:️,0.0
7,sherylunardi,2023-05-24 01:04:07+00:00,🫶🫶🫶🫶,0.0
7,masha_lobanovaa,2023-05-23 21:15:28+00:00,Прекрасна :red_heart:️,1.0
7,sandra_soko,2023-05-23 19:14:23+00:00,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,0.0
7,lara_lepp,2023-05-23 03:10:06+00:00,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,0.0
7,selflover_studio,2023-05-22 23:43:30+00:00,Красота :raising_hands::red_heart:️:fire:!,0.0
7,pamarias,2023-05-22 23:36:00+00:00,Stunning :smiling_face_with_heart-eyes:,1.0
7,fela_montparnasse_felappi,2023-05-22 22:45:21+00:00,The queen of cannes festival,0.0
7,gabrielaaamedinaaa,2023-05-22 21:26:07+00:00,:red_heart:️,0.0
7,pr_saymedia,2023-05-22 20:21:15+00:00,Can you check direct,0.0
7,20.04th,2023-05-22 20:09:37+00:00,OMG :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: You are so beautiful :smiling_face_with_heart-eyes:,0.0
8,frederikeschut,2023-06-05 06:33:22+00:00,Zo mooi :black_heart::white_heart:,0.0
8,_jeanettemadsen_,2023-06-04 06:05:34+00:00,:red_heart:️,0.0
8,maimoun_store,2023-06-04 01:54:01+00:00,Wow :ribbon:,0.0
8,sashashviderska,2023-06-03 17:41:10+00:00,:smiling_face_with_heart-eyes:,0.0
8,erika_boldrin,2023-06-03 12:31:13+00:00,Chic,0.0
8,joysworld_,2023-06-03 11:21:17+00:00,Perfect:smiling_face_with_heart-eyes:,0.0
8,brunabear,2023-06-03 09:17:40+00:00,:smiling_face_with_heart-eyes:,0.0
8,flavia.ippoliti,2023-06-03 07:01:01+00:00,:brown_heart::brown_heart::brown_heart:,0.0
8,rubyfranken,2023-06-03 06:26:51+00:00,Mooi :red_heart:️,0.0
8,___leipzigrotterdam,2023-06-02 22:40:42+00:00,:black_heart:,0.0
9,handritian,2023-05-27 04:46:58+00:00,Just wow :red_heart:️,0.0
