post_id,timestamp,postUser,caption,hashtags,likesCount,commentsCount
1,2023-06-02 16:34:43+00:00,maryleest,Cannes 2023 with @kilianparis 🤍 #KilianCannes Wearing @mrselfportrait dress ✨,KilianCannes,32070,142
2,2023-01-01 07:49:16+00:00,tinaabeysekara,"As the clock struck midnight to ring in 2022, I cried that ‘this will be the worst year ever’.   Kalu, my fur bestie of 18 years, had just been given weeks to live after a terminal cancer diagnosis. How could 2022 ever recover from that?  Yet somehow it came pretty close.  It was a year of ‘ands’… of grieving and landing dream collaborations 💃🏽, of limiting beliefs and growing my jewellery brand @thetreasurededit 💫, of anxieties and saying yes to packing up our lives and moving across the world 🇺🇸. Thank you for supporting me through it all 🫶🏾.  As we welcome 2023 from our new home in San Francisco I couldn’t be further (emotionally and literally 😅) from the person I was.  Scary…AND freeing 🤍.  My 2023 intention is to lean into play and adventure, leading with a ‘what if it all works out?’ mindset.  Excited to share the ride with you all, thank you for following along 🥰  Happy New Year 🥳  T xx",,6565,86
3,2023-05-29 18:57:51+00:00,maryleest,The famous stairs 🤎 Photo @gustave_durin   Dress @marmarhalim Jewelry @yessayan Hair @balmainhaircouture Makeup @narsissist,,28936,123
4,2023-03-07 19:30:42+00:00,stephaniebroek,"I visualized this moment so many times before. My first @chanelofficial show. I always thought this would happen if/when I’d get promoted from editor to fashion director, or perhaps editor-in-chief one day. But when I quit my editor role to go freelance, attending seemed further away than ever.  Today this dream came true. Not on behalf of a magazine. But on my own. A very proud moment. The show was just as magical as I envisioned. The invitation, Grand Palais Éphémère, the set (a larger than life camellia), the models, the music. A collection dedicated to Gabrielle Chanel’s favorite flower. Hair clips, broches, prints, on shoes: the House’s emblematic flower was everywhere. Thanks so much for having me 🤍🖤 #CHANELFallWinter",CHANELFallWinter,4764,215
5,2023-05-23 21:11:12+00:00,maryleest,Got to witness such historical moment in cinema … «Killers of the flower moon” in Cannes 💔 #CannesFilmFestival,CannesFilmFestival,13379,123
6,2023-06-04 18:15:30+00:00,stephaniebroek,back home but my mind is still here </3,,2690,85
7,2023-05-22 12:33:05+00:00,maryleest,Red for my second Cannes Film Festival red carpet ❤️  Glam by @thetatithunder @narsissist  Jewelry @hassanzadeh_jewelry,,30237,112
8,2023-06-02 15:00:21+00:00,stephaniebroek,last summer I lived in @bymalenebirger’s kaftans during the third trimester of my pregnancy. this year it’s my form of quiet luxury with a baby (eg: just throwing it on in the morning over my swimsuit without thinking and knowing I’ll look chic all day),,978,53
9,2023-05-19 20:20:16+00:00,maryleest,My Audrey Hepburn moment on the first 76th Cannes Film Festival 💕  Dress @marmarhalim Jewelry @hassanzadeh_jewelry Shoes @gianvitorossi Hair @balmainhaircouture Makeup @narsissist  @campariofficial @the_frntal_pr #camparicinema,camparicinema,32123,172
10,2023-06-01 18:23:18+00:00,stephaniebroek,first mini holiday with olive </3 (and a suitcase full of parachute pants that have become an integral part of my mom uniform + vintage miu miu),,2277,51
