path,cluster
1,1
10,1
100,1
101,3
102,1
103,1
104,3
105,1
106,1
107,1
108,3
109,1
11,1
110,0
111,1
112,1
113,1
114,1
115,3
116,3
117,1
118,1
119,1
12,1
120,1
121,1
123,1
124,1
125,3
126,1
127,3
128,1
13,1
130,1
131,1
132,2
133,3
134,1
137,3
138,2
139,1
14,1
140,1
141,1
142,1
143,1
144,1
145,3
146,1
147,3
148,1
149,3
15,1
150,1
151,1
152,1
153,1
154,3
155,1
156,1
157,1
158,1
159,3
16,3
160,1
161,3
162,1
163,1
164,1
165,1
166,1
167,3
168,3
169,1
17,1
170,1
171,1
172,3
173,1
174,2
175,1
176,2
177,1
178,3
179,2
18,3
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,3
189,1
19,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,3
198,1
199,3
2,1
20,3
200,1
201,1
202,3
203,1
204,3
205,3
206,3
207,2
208,1
209,1
21,2
210,1
211,1
212,3
213,1
214,1
215,1
216,1
217,2
218,1
219,1
22,1
220,1
221,2
222,1
223,1
224,1
225,2
226,3
227,1
228,1
229,1
23,1
230,1
231,1
232,1
233,2
234,1
235,1
236,1
237,1
238,1
239,1
24,1
240,1
241,1
242,3
243,3
244,1
245,1
246,3
247,1
248,3
249,0
25,3
250,3
251,0
252,1
253,1
254,1
255,3
256,1
257,2
258,1
259,2
26,3
260,0
261,1
262,2
263,3
264,1
265,1
266,1
267,0
268,3
269,1
27,1
270,2
271,2
272,3
273,1
274,1
275,1
276,0
277,1
278,3
279,1
28,2
280,1
281,1
282,1
283,1
284,3
285,3
286,1
287,1
288,1
289,1
29,3
290,1
291,3
292,1
293,0
294,1
295,1
296,1
297,3
298,1
299,1
3,1
30,3
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
31,1
310,1
311,3
312,1
313,3
314,3
315,2
316,3
317,0
318,1
319,1
32,3
320,1
321,1
322,3
323,2
324,2
325,1
326,3
327,2
328,3
329,1
33,2
330,1
331,3
333,1
334,1
335,2
336,1
337,1
338,1
339,1
34,0
340,1
341,3
342,1
343,1
344,1
345,1
346,1
347,3
348,3
349,3
35,1
350,2
351,3
352,0
353,2
354,3
355,2
356,1
357,1
358,1
359,3
36,2
360,1
361,0
362,1
363,1
364,1
365,2
366,1
367,1
368,1
369,1
37,2
370,1
371,1
372,2
373,1
374,1
375,1
376,1
377,3
378,0
379,1
38,3
380,0
381,1
382,2
383,1
384,1
385,3
386,2
387,1
388,2
389,1
39,1
390,1
391,1
392,1
393,1
394,1
395,0
396,0
397,1
398,3
399,1
4,1
40,1
400,2
401,1
402,0
403,1
404,2
405,1
406,1
407,1
408,1
409,1
41,3
410,2
411,1
412,1
413,1
414,1
415,1
416,3
417,1
418,1
419,3
42,2
420,3
421,1
422,1
423,1
424,3
425,1
426,1
427,1
428,1
429,1
43,1
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,1
439,1
44,1
440,0
441,1
442,2
443,3
444,1
445,1
446,1
447,1
448,3
449,1
45,3
450,1
451,1
452,1
453,1
454,1
455,1
456,3
457,1
458,1
459,3
46,1
460,3
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,2
47,1
470,1
471,1
472,3
473,1
474,1
475,3
476,3
477,1
478,1
479,3
48,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,2
489,1
49,1
490,3
491,3
492,1
493,1
494,1
495,2
496,3
497,1
498,1
499,1
5,1
50,1
500,1
501,1
502,1
503,1
504,1
505,1
506,0
507,3
508,1
509,1
51,1
510,3
511,3
512,3
513,1
514,3
515,1
516,1
517,1
518,1
519,1
52,1
520,1
521,1
522,2
523,3
524,1
525,1
526,3
527,1
528,3
529,1
53,1
530,1
531,1
532,2
533,3
534,0
535,1
536,3
537,1
538,0
539,3
54,3
540,1
541,1
542,1
543,3
544,1
545,2
546,1
547,1
548,1
549,1
55,1
550,1
551,2
552,1
553,3
554,1
555,1
556,1
557,1
558,0
559,1
56,2
560,3
561,2
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,3
57,1
570,1
571,3
572,3
573,0
574,3
575,1
576,1
577,1
578,1
579,1
58,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,3
588,1
589,1
59,1
590,1
591,1
592,1
593,1
594,3
595,1
596,1
597,3
598,1
599,2
6,1
60,3
600,1
601,0
602,3
603,2
604,1
605,0
606,1
607,1
608,2
609,1
61,2
610,1
611,1
612,1
613,1
614,1
615,3
616,2
617,1
618,1
619,1
62,1
620,0
621,0
622,3
623,1
624,1
625,3
626,1
627,3
628,0
629,0
63,3
630,0
631,3
632,1
633,3
634,1
635,1
636,1
637,1
638,1
639,3
64,1
640,2
641,1
642,0
643,1
644,3
645,1
646,1
647,1
648,1
649,0
65,1
650,1
651,3
652,1
653,3
654,3
655,1
656,1
657,1
658,2
659,1
66,1
660,1
661,3
662,1
663,1
664,3
665,3
666,2
667,1
668,1
669,1
67,1
670,1
671,3
672,1
673,0
674,0
675,0
676,1
677,0
678,0
679,1
68,1
680,0
681,1
682,1
683,1
684,3
685,3
686,1
687,1
688,1
689,1
69,1
690,1
691,3
692,1
693,2
694,2
695,1
696,1
697,3
698,1
699,1
7,1
70,1
700,3
701,1
702,2
703,1
704,1
705,3
706,1
707,1
708,3
709,1
71,1
710,3
711,1
712,1
713,1
714,1
715,1
716,3
717,1
718,3
719,1
72,1
720,2
721,1
722,1
723,3
724,1
725,1
726,1
727,1
728,1
729,1
73,1
730,1
731,1
732,1
733,1
734,1
735,2
736,1
737,1
738,1
739,1
74,1
740,1
741,3
742,1
743,0
744,1
745,0
746,1
747,0
748,3
749,0
75,1
750,1
751,3
752,1
753,1
754,1
755,1
756,1
757,2
758,1
759,1
76,3
760,1
761,1
762,1
763,1
764,1
765,1
766,3
767,0
768,3
769,3
77,1
770,3
771,3
772,1
773,1
774,1
775,1
776,3
777,1
