post_id,commentUser,timestamp,comments,likes,clean_comments,tokens,polarity,sentiment,tfidf_keywords,preferences,emoji_present
1,wilsonjunior5055,2023-06-05 12:27:24+00:00,"I have a proposal for u, send me a DM please!",0.0,i have a proposal for u send me a dm please,"['proposal', 'u', 'send', 'dm', 'please']",0.2074,neutral,"['please', 'amazing', 'beautiful', 'clapping_hands', 'de']",[],[]
1,mariavmh,2023-06-04 16:46:40+00:00,Woaaaah,0.0,woaaaah,['woaaaah'],-0.5351,negative,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']",[],[]
1,mariavmh,2023-06-04 16:46:34+00:00,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,0.0,smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes,['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes'],-0.0151,neutral,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']",[],[]
1,stylemesoftly_,2023-06-04 15:44:54+00:00,:red_heart:️:red_heart:️:red_heart:️,0.0,red_heartred_heartred_heart,['red_heartred_heartred_heart'],-0.4655,negative,"['red_heartred_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']",[],[]
1,jillviv,2023-06-04 15:06:03+00:00,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: so glad you made it! @kilianparis,0.0,smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes so glad you made it kilianparis,"['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'glad', 'made', 'kilianparis']",0.9696,positive,"['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']",[],[]
1,sevdalaland,2023-06-04 08:39:28+00:00,:fire::fire::fire:,0.0,firefirefire fire fire fire,"['firefirefire', 'fire', 'fire', 'fire']",-0.0207,neutral,"['fire', 'firefirefire', 'amazing', 'beautiful', 'clapping_hands']",[],['fire']
1,grace.hanna92,2023-06-03 22:47:32+00:00,This is perfection :smiling_face_with_heart-eyes:,0.0,this is perfection smiling_face_with_hearteyes,"['perfection', 'smiling_face_with_hearteyes']",0.9705,positive,"['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']",['this'],[]
1,vivi__1988,2023-06-03 22:47:21+00:00,The best ever :fire:,0.0,the best ever fire fire,"['best', 'ever', 'fire', 'fire']",0.941,positive,"['fire', 'amazing', 'beautiful', 'clapping_hands', 'de']",[],['fire']
1,samar.helou1,2023-06-03 22:47:06+00:00,You're so gorgeous :smiling_face_with_heart-eyes:,0.0,youre so gorgeous smiling_face_with_hearteyes,"['youre', 'gorgeous', 'smiling_face_with_hearteyes']",0.9851,positive,"['gorgeous', 'smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands']",['smiling_face_with_hearteyes'],[]
1,maria.boutros9,2023-06-03 22:46:31+00:00,Stunning as usual :red_heart:️,0.0,stunning as usual red_heart,"['stunning', 'usual', 'red_heart']",0.9581,positive,"['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']",['as'],[]
2,scarlett.jones_95,2023-06-05 11:29:58+00:00,Hey Tina I just want to make sure you got my message :),0.0,hey tina i just want to make sure you got my message,"['hey', 'tina', 'want', 'make', 'sure', 'got', 'message']",0.1726,neutral,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']",[],[]
2,tropichics,2023-05-08 01:29:45+00:00,All the colors! these are stunning!,0.0,all the colors these are stunning,"['color', 'stunning']",0.9768,positive,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']",[],[]
