post_id,timestamp,ownerUsername,type,caption,hashtags,likesCount,commentsCount,image
1,2023-06-02 16:34:43+00:00,maryleest,Sidecar,Cannes 2023 with @kilianparis 🤍 #KilianCannes Wearing @mrselfportrait dress ✨,KilianCannes,32070,142,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/350766728_1933209967024160_4306952071660994398_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=i3lff-c7KscAX-J8j6V&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCDCJSyiPmYRP87oQ1yW_N8AuHdDUMEKjqBeKBWaFya8A&oe=64847544&_nc_sid=8721cf
2,2023-01-01 07:49:16+00:00,tinaabeysekara,Sidecar,"As the clock struck midnight to ring in 2022, I cried that ‘this will be the worst year ever’.   Kalu, my fur bestie of 18 years, had just been given weeks to live after a terminal cancer diagnosis. How could 2022 ever recover from that?  Yet somehow it came pretty close.  It was a year of ‘ands’… of grieving and landing dream collaborations 💃🏽, of limiting beliefs and growing my jewellery brand @thetreasurededit 💫, of anxieties and saying yes to packing up our lives and moving across the world 🇺🇸. Thank you for supporting me through it all 🫶🏾.  As we welcome 2023 from our new home in San Francisco I couldn’t be further (emotionally and literally 😅) from the person I was.  Scary…AND freeing 🤍.  My 2023 intention is to lean into play and adventure, leading with a ‘what if it all works out?’ mindset.  Excited to share the ride with you all, thank you for following along 🥰  Happy New Year 🥳  T xx",,6565,86,https://instagram.fyei4-1.fna.fbcdn.net/v/t51.2885-15/322954217_230132996013751_2156892200515638258_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fyei4-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=wsx4h36pWVYAX-I-3Q6&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBM4LNycFhxaTeQt5kkx5oD2pMeelU0Td3IHIoCa0_W2w&oe=6484B3F0&_nc_sid=8721cf
3,2023-05-29 18:57:51+00:00,maryleest,Sidecar,The famous stairs 🤎 Photo @gustave_durin   Dress @marmarhalim Jewelry @yessayan Hair @balmainhaircouture Makeup @narsissist,,28936,123,https://instagram.fpeg1-2.fna.fbcdn.net/v/t51.2885-15/349637092_916437719588963_2248943113644867598_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fpeg1-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=RQg_u1nSFwsAX_JhDIc&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCIfu9ctf9tLoQJ9x7IzxIZGM9bUWCJMXnvO_g-NAfJJQ&oe=6484A9C7&_nc_sid=8721cf
4,2023-03-07 19:30:42+00:00,stephaniebroek,Sidecar,"I visualized this moment so many times before. My first @chanelofficial show. I always thought this would happen if/when I’d get promoted from editor to fashion director, or perhaps editor-in-chief one day. But when I quit my editor role to go freelance, attending seemed further away than ever.  Today this dream came true. Not on behalf of a magazine. But on my own. A very proud moment. The show was just as magical as I envisioned. The invitation, Grand Palais Éphémère, the set (a larger than life camellia), the models, the music. A collection dedicated to Gabrielle Chanel’s favorite flower. Hair clips, broches, prints, on shoes: the House’s emblematic flower was everywhere. Thanks so much for having me 🤍🖤 #CHANELFallWinter",CHANELFallWinter,4764,215,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/334555980_5949871798465318_2593556376813726251_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Av0OVZOL1sIAX8FjdYJ&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAbCAG177oqlMJXWJk3ef--rH_ngu6CFTLFI37UNsH0JA&oe=64856306&_nc_sid=8721cf
5,2023-05-23 21:11:12+00:00,maryleest,Sidecar,Got to witness such historical moment in cinema … «Killers of the flower moon” in Cannes 💔 #CannesFilmFestival,CannesFilmFestival,13379,123,https://instagram.fprg5-1.fna.fbcdn.net/v/t51.2885-15/348846085_1273632646882466_6027125842197119078_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fprg5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=s6XGULvSAHUAX-8A46Z&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAiL9dacCfFI_iaiXqe6hJXU3hrCrPT-qpzf0IxeX3PVw&oe=6483906A&_nc_sid=8721cf
6,2023-06-04 18:15:30+00:00,stephaniebroek,Sidecar,back home but my mind is still here </3,,2690,85,https://instagram.fcai20-5.fna.fbcdn.net/v/t51.2885-15/351451016_917567756176981_7571408440399547236_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fcai20-5.fna.fbcdn.net&_nc_cat=101&_nc_ohc=aEycFibV0jgAX93kAC3&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAbhIvsLNPaGfiY70y_Bmw6RLt5L14wFjEfSYb2PDAmAg&oe=6483DD38&_nc_sid=8721cf
7,2023-05-22 12:33:05+00:00,maryleest,Sidecar,Red for my second Cannes Film Festival red carpet ❤️  Glam by @thetatithunder @narsissist  Jewelry @hassanzadeh_jewelry,,30237,112,https://scontent-lcy1-2.cdninstagram.com/v/t51.2885-15/347901318_798431285264153_8521779989390282244_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lcy1-2.cdninstagram.com&_nc_cat=105&_nc_ohc=iiGOJ9ga92UAX9-AMb0&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfD76xIWtIx2kpkE4kiTHur6NT4hMSYynHxoZf_Co6DAbA&oe=64857725&_nc_sid=8721cf
8,2023-06-02 15:00:21+00:00,stephaniebroek,Sidecar,last summer I lived in @bymalenebirger’s kaftans during the third trimester of my pregnancy. this year it’s my form of quiet luxury with a baby (eg: just throwing it on in the morning over my swimsuit without thinking and knowing I’ll look chic all day),,978,53,https://instagram.fcgh23-1.fna.fbcdn.net/v/t51.2885-15/350901034_2321222088079728_4568945524469040860_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fcgh23-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=-lPJEM-KMwQAX9pcd3H&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfD3k2FvnrfAbanrDKryiRltbeQbbUFhkWRUA8fsF9bJAw&oe=6483FB27&_nc_sid=8721cf
9,2023-05-19 20:20:16+00:00,maryleest,Sidecar,My Audrey Hepburn moment on the first 76th Cannes Film Festival 💕  Dress @marmarhalim Jewelry @hassanzadeh_jewelry Shoes @gianvitorossi Hair @balmainhaircouture Makeup @narsissist  @campariofficial @the_frntal_pr #camparicinema,camparicinema,32123,172,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/347364495_546967210974934_5178001450579488421_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=uc5NwSiZ-lEAX9L9Nb2&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBA2swhF7pLnhHej80JJc7IXXykzEtL4plKDB_kyGCurA&oe=64846B80&_nc_sid=8721cf
10,2023-06-01 18:23:18+00:00,stephaniebroek,Sidecar,first mini holiday with olive </3 (and a suitcase full of parachute pants that have become an integral part of my mom uniform + vintage miu miu),,2277,51,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/350661180_775442203960384_82063265620025289_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=86WPGohCbxMAX_rYwLB&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCXTvT8f0ztoq2ATbleAUfJPJZivCtJKdj59P-oCaCFoA&oe=6484373A&_nc_sid=8721cf
