post_id,commentUser,timestamp,likes,clean_comment,tokens,polarity,sentiment,tfidf_keywords
1,wilsonjunior5055,2023-06-05 12:27:24+00:00,0.0,i have a proposal for u send me a dm please,"['proposal', 'u', 'send', 'dm', 'please']",0.2074,neutral,"['dm', 'please', 'amazing', 'beautiful', 'black_heart']"
1,mariavmh,2023-06-04 16:46:40+00:00,0.0,woaaaah,['woaaaah'],-0.5351,negative,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
1,mariavmh,2023-06-04 16:46:34+00:00,0.0,smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes']",0.8857,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
1,stylemesoftly_,2023-06-04 15:44:54+00:00,0.0,red_heart red_heart red_heart,"['red_heart', 'red_heart', 'red_heart']",0.2744,neutral,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
1,jillviv,2023-06-04 15:06:03+00:00,0.0,smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes so glad you made it kilianparis,"['smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'smiling_face_with_heart', 'eyes', 'glad', 'made', 'kilianparis']",0.9791,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
1,sevdalaland,2023-06-04 08:39:28+00:00,0.0,fire fire fire,"['fire', 'fire', 'fire']",0.0278,neutral,"['fire', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
1,grace.hanna92,2023-06-03 22:47:32+00:00,0.0,this is perfection smiling_face_with_heart eyes,"['perfection', 'smiling_face_with_heart', 'eyes']",0.9732,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
1,vivi__1988,2023-06-03 22:47:21+00:00,0.0,the best ever fire,"['best', 'ever', 'fire']",0.9289,positive,"['fire', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
1,samar.helou1,2023-06-03 22:47:06+00:00,0.0,you re so gorgeous smiling_face_with_heart eyes,"['gorgeous', 'smiling_face_with_heart', 'eyes']",0.9842,positive,"['gorgeous', 'smiling_face_with_heart', 'eyes', 'amazing', 'beautiful']"
1,maria.boutros9,2023-06-03 22:46:31+00:00,0.0,stunning as usual red_heart,"['stunning', 'usual', 'red_heart']",0.9581,positive,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
2,scarlett.jones_95,2023-06-05 11:29:58+00:00,0.0,hey tina i just want to make sure you got my message,"['hey', 'tina', 'want', 'make', 'sure', 'got', 'message']",0.1726,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
2,tropichics,2023-05-08 01:29:45+00:00,0.0,all the colors these are stunning,"['colors', 'stunning']",0.9768,positive,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
2,nabeelageorge,2023-04-23 10:33:41+00:00,0.0,how did moccona get your home address though,"['moccona', 'get', 'home', 'address', 'though']",-0.0778,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
2,madisonstyleblog,2023-04-16 11:01:27+00:00,0.0,so pretty smiling_face_with_heart eyes,"['pretty', 'smiling_face_with_heart', 'eyes']",0.9567,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
2,rolly.mag,2023-02-06 01:44:58+00:00,0.0,just caught up on this beautiful words red_heart,"['caught', 'beautiful', 'words', 'red_heart']",0.9662,positive,"['beautiful', 'red_heart', 'amazing', 'black_heart', 'blue_heart']"
2,antgeorgopoulos,2023-02-01 09:11:56+00:00,0.0,cristinadalton,['cristinadalton'],0.04,neutral,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
3,stylesprinter,2023-06-03 01:45:35+00:00,0.0,love this monochrome look fire fire fire,"['love', 'monochrome', 'look', 'fire', 'fire', 'fire']",0.9756,positive,"['fire', 'look', 'love', 'amazing', 'beautiful']"
3,gibz_photography,2023-05-30 14:43:44+00:00,0.0,smiling_face_with_heart eyes,"['smiling_face_with_heart', 'eyes']",0.728,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
3,annkurtoglyan,2023-05-30 13:42:55+00:00,0.0,mary this is incredible smiling_face_with_heart eyes,"['mary', 'incredible', 'smiling_face_with_heart', 'eyes']",0.9754,positive,"['smiling_face_with_heart', 'eyes', 'amazing', 'beautiful', 'black_heart']"
3,ileniatoma_,2023-05-30 09:33:28+00:00,0.0,the drama fire,"['drama', 'fire']",0.1436,neutral,"['fire', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
3,gabrielaaamedinaaa,2023-05-30 06:38:53+00:00,0.0,love this look smiling_face_with_heart eyes,"['love', 'look', 'smiling_face_with_heart', 'eyes']",0.9789,positive,"['look', 'love', 'smiling_face_with_heart', 'eyes', 'amazing']"
3,valyamihei,2023-05-30 02:39:04+00:00,0.0,white_heart,['white_heart'],0.1141,neutral,"['white_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
3,verivanovaa,2023-05-30 02:29:51+00:00,0.0,red_heart red_heart,"['red_heart', 'red_heart']",0.2019,neutral,"['red_heart', 'amazing', 'beautiful', 'black_heart', 'blue_heart']"
3,zaharova_zoya_,2023-05-30 02:28:48+00:00,0.0,broken_heart,['broken_heart'],-0.4402,negative,"['amazing', 'beautiful', 'black_heart', 'blue_heart', 'brown_heart']"
