post_id,postUser,timestamp,likesCount,commentsCount,combined_keywords
1,maryleest,2023-06-02 16:34:43+00:00,32070,142,"['cannes', 'kilian', 'dress', '2023', 'kilianparis', 'kiliancannes', 'wearing']"
2,tinaabeysekara,2023-01-01 07:49:16+00:00,6565,86,"['2022', '2023', 'clock', 'struck', 'midnight', 'year', 'ever', 'thank']"
3,maryleest,2023-05-29 18:57:51+00:00,28936,123,"['dress', 'jewelry', 'famous', 'stairs', 'photo', 'gustave_durin', 'dress marmarhalim']"
4,stephaniebroek,2023-03-07 19:30:42+00:00,4764,215,"['show', 'chanel', 'fashion', 'shoes', 'visualized', 'editor', 'moment', 'flower']"
5,maryleest,2023-05-23 21:11:12+00:00,13379,123,"['cannes', 'cannesfilmfestival', 'festival', 'got', 'witness', 'historical', 'moment']"
6,stephaniebroek,2023-06-04 18:15:30+00:00,2690,85,"['back', 'home', 'mind', 'still', '3']"
7,maryleest,2023-05-22 12:33:05+00:00,30237,112,"['cannes', 'festival', 'jewelry', 'red', 'second', 'film', 'jewelry hassanzadeh_jewelry']"
8,stephaniebroek,2023-06-02 15:00:21+00:00,978,53,"['chic', 'last', 'summer', 'lived', 'bymalenebirger', 'kaftans']"
9,maryleest,2023-05-19 20:20:16+00:00,32123,172,"['cannes', 'festival', 'dress', 'jewelry', 'shoes', 'camparicinema', 'audrey', 'hepburn', 'moment', 'first', 'jewelry hassanzadeh_jewelry']"
10,stephaniebroek,2023-06-01 18:23:18+00:00,2277,51,"['miu', 'vintage', 'first', 'mini', 'holiday', 'olive', 'pants']"
11,maryleest,2023-05-26 12:43:54+00:00,27133,144,"['cannes', 'dress', 'jewelry', 'last', 'red', 'carpet', 'asteroid', 'dress marmarhalim']"
12,stephaniebroek,2023-05-31 18:38:50+00:00,725,30,"['villa', 'magnan', '33333']"
13,stephaniebroek,2023-05-23 18:51:43+00:00,1618,37,"['vintage', 'feminine', 'urge', 'reinvent', 'change', 'magazine', 'clothing', 'jacket']"
14,stephaniebroek,2023-05-24 18:27:22+00:00,1271,47,"['never', 'searching', 'perfect', 'jeans', 'add']"
