post_id,timestamp,postUser,caption,hashtags,likesCount,commentsCount,mentions,image_description
1,2023-06-02 16:34:43+00:00,maryleest,cannes 2023 with wearing dress,kiliancannes,32070,142,kilianparis mrselfportrait,"The image shows a young woman standing in the doorway of a room with a view of the ocean. She is wearing a white dress, a white blazer, and white sneakers. She has a pair of sunglasses on and is holding a palm tree in her hand. The room has white walls and a wooden floor. Through the doorway, we can see the ocean and palm trees. The sky is blue and the weather appears to be sunny and warm."
2,2023-01-01 07:49:16+00:00,tinaabeysekara,as the clock struck midnight to ring in 2022 i cried that ‘this will be the worst year ever’ kalu my fur bestie of 18 years had just been given weeks to live after a terminal cancer diagnosis how could 2022 ever recover from that yet somehow it came pretty close it was a year of ‘ands’… of grieving and landing dream collaborations of limiting beliefs and growing my jewellery brand of anxieties and saying yes to packing up our lives and moving across the world thank you for supporting me through it all as we welcome 2023 from our new home in san francisco i couldn’t be further emotionally and literally from the person i was scary…and freeing my 2023 intention is to lean into play and adventure leading with a ‘what if it all works out’ mindset excited to share the ride with you all thank you for following along happy new year t xx,no_hashtag,6565,86,thetreasurededit,The image shows a young woman walking on a sidewalk in front of a building. She is wearing a blue floral dress with white polka dots and a beige blazer over it. She has long dark hair and is carrying a black purse. The woman is wearing beige high heels and has a smile on her face. The building behind her has large windows and there are trees and bushes on either side of the sidewalk.
3,2023-05-29 18:57:51+00:00,maryleest,the famous stairs photo dress jewelry hair makeup,no_hashtag,28936,123,gustave_durin marmarhalim yessayan balmainhaircouture narsissist,The image shows a woman standing on a staircase. She is wearing a strapless brown dress with a sweetheart neckline and long sleeves. The dress is fitted at the waist and flares out slightly at the hips. She has long dark hair styled in loose waves and is wearing large hoop earrings and a statement necklace. The woman is holding onto the railing of the staircase with both hands and appears to be in the middle of a performance. The background shows a white wall and a black railing.
4,2023-03-07 19:30:42+00:00,stephaniebroek,i visualized this moment so many times before my first show i always thought this would happen ifwhen i’d get promoted from editor to fashion director or perhaps editorinchief one day but when i quit my editor role to go freelance attending seemed further away than ever today this dream came true not on behalf of a magazine but on my own a very proud moment the show was just as magical as i envisioned the invitation grand palais éphémère the set a larger than life camellia the models the music a collection dedicated to gabrielle chanel’s favorite flower hair clips broches prints on shoes the house’s emblematic flower was everywhere thanks so much for having me,chanelfallwinter,4764,215,chanelofficial,"The image shows the legs of a person sitting in the back seat of a car. The person is wearing a pair of blue jeans with a white Chanel logo on the left leg. The jeans have a quilted pattern and appear to be made of a soft, comfortable fabric. On the right leg, there is a black and white photo of a woman's face with the word ""CHANEL"" written above it. The background is dark, and the focus is on the person's feet."
5,2023-05-23 21:11:12+00:00,maryleest,got to witness such historical moment in cinema … «killers of the flower moon” in cannes,cannesfilmfestival,13379,123,no_mention,"The image shows a group of people standing in a dimly lit room. They are all dressed in formal attire, with some wearing black tuxedos and others wearing white dresses. The group appears to be posing for a photo, with the man in the center holding a bouquet of flowers. The background is blurred, but it seems to be a formal event with other people in the background. The overall mood of the image is somber and celebratory."
6,2023-06-04 18:15:30+00:00,stephaniebroek,back home but my mind is still here 3,no_hashtag,2690,85,no_mention,The image shows a woman sitting on a chair in a room with a window in the background. She is wearing a black coat with a white shirt underneath and a pair of leopard print pants. The coat has a high collar and long sleeves. The woman is holding a brown purse in her left hand and is looking off to the side with a serious expression on her face. The floor is covered with a black and white patterned rug.
7,2023-05-22 12:33:05+00:00,maryleest,red for my second cannes film festival red carpet ️ glam by jewelry,no_hashtag,30237,112,thetatithunder narsissist hassanzadeh_jewelry,"The image is a close-up portrait of a woman's face. She appears to be at a red carpet event, as there are blurred people in the background. The woman has dark hair styled in a sleek updo, with her hair pulled back in a low bun. She is wearing a pair of large, dangling earrings with red and gold accents. Her makeup is dramatic, with bold red lipstick and dramatic eye makeup. She has a serious expression on her face and is looking directly at the camera."
8,2023-06-02 15:00:21+00:00,stephaniebroek,last summer i lived in ’s kaftans during the third trimester of my pregnancy this year it’s my form of quiet luxury with a baby eg just throwing it on in the morning over my swimsuit without thinking and knowing i’ll look chic all day,no_hashtag,978,53,bymalenebirger,The image shows a woman standing on a set of stairs. She is wearing a beige-colored tunic with a deep V-neckline and black sleeves. The tunic has a loose fit and appears to be made of a lightweight fabric. The woman is also wearing black sandals. She has blonde hair and is looking off to the side with a serious expression on her face. The stairs have white railings and there is a building in the background.
9,2023-05-19 20:20:16+00:00,maryleest,my audrey hepburn moment on the first 76th cannes film festival dress jewelry shoes hair makeup,camparicinema,32123,172,marmarhalim hassanzadeh_jewelry gianvitorossi balmainhaircouture narsissist campariofficial the_frntal_pr,"The image shows a young woman posing on a red carpet at a formal event. She is wearing a long, flowing pink gown with a sweetheart neckline and off-the-shoulder straps. The gown has a fitted bodice and a full skirt that flares out at the bottom. The woman is standing with one hand on her hip and the other resting on her thigh. She has a serious expression on her face and is looking directly at the camera. In the background, there are photographers and photographers taking pictures of the event. The red carpet is lined with trees and there are buildings visible in the background."
10,2023-06-01 18:23:18+00:00,stephaniebroek,first mini holiday with olive 3 and a suitcase full of parachute pants that have become an integral part of my mom uniform vintage miu miu,no_hashtag,2277,51,no_mention,The image shows a woman standing in front of a white building with green shutters. She is wearing a black long-sleeved shirt and grey pants. She has blonde hair and is carrying a brown and white crossbody bag. The woman is looking down at a small child who is standing next to her. The ground is covered in gravel and there are some plants and shrubs in the background.
11,2023-05-26 12:43:54+00:00,maryleest,last red carpet in cannes for “asteroid city” by wes anderson dress tailored by jewelry hair makeup,no_hashtag,27133,144,marmarhalim saifffoux yessayan monaelhajj2377 amarsana_style balmainhaircouture narsissist the_frntal_pr,"The image shows a woman posing on a red carpet at a film festival. She is wearing a long, strapless, burgundy gown with a sweetheart neckline and long sleeves. The dress is made of a textured fabric with a ruffled skirt that falls to her knees. The woman is also wearing a statement necklace and has her hair styled in loose waves. She has a serious expression on her face and is looking directly at the camera. In the background, there are photographers and photographers taking pictures of the event. The sky is blue and there are trees and buildings visible in the distance."
12,2023-05-31 18:38:50+00:00,stephaniebroek,villa magnan 33333,no_hashtag,725,30,no_mention,"The image shows a luxurious living room with a large window on the right side. The window is covered with white sheer curtains that are hanging in a way that creates a drape-like effect. The curtains are draped over the windows, covering the entire room. In the center of the room, there is a round white sofa with a tufted backrest and armrests. The sofa is placed on a tiled floor with a geometric pattern. A chandelier hangs from the ceiling, adding a touch of elegance to the space. The room is bright and airy, with natural light coming in from the large windows."
13,2023-05-23 18:51:43+00:00,stephaniebroek,the feminine urge to reinvent yourself during the change of seasons recently talked about how she has been scared of her closet because she felt weird in her body couldn’t relate more atm while she tried to refamiliarize herself with her own clothing again i took myself on a vintageskincaremagazine date obsessed over a silver archival escada jacket and capri pleats shop was wowed by serriffe selection of books and magazine and promised myself to never leave the house without applying new spf50 ever again,no_hashtag,1618,37,himichelleli theceiling san paulaschoicenl,"The image shows a woman standing in a room with a wooden floor and a mirror. She is holding her phone up to take a selfie. The woman is wearing a silver blazer with a high collar and long sleeves. The blazer has a shiny finish and appears to be made of a shiny fabric. She has a pair of white trousers and black boots on her feet. In the background, there is a wooden table and a yellow umbrella."
14,2023-05-24 18:27:22+00:00,stephaniebroek,never not searching for the perfect jeans to add to my wardrobe may have found the perfect low rise subtle y2k wash 3 ad,no_hashtag,1271,47,samsoesamsoe,"The image shows a young woman standing in a bathroom. She is wearing a black tank top, grey jeans, and black flats. She has blonde hair styled in loose waves and is wearing sunglasses. The bathroom has a marble countertop with two sinks and a large mirror above it. There is a basket on the floor next to the countertop. The woman is posing with one hand on her hip and the other hand resting on the counter."
15,2023-05-23 10:49:35+00:00,maryleest,wearing custom couture flower dress for “killers of the flower moon” during cannes film festival ️ dress jewelry shoes hair makeup,no_hashtag,31144,163,tatyanakochnova_official hassanzadeh_jewelry casadeiofficial balmainhaircouture thetatithunder narsissist the_frntal_pr,"The image shows a woman posing on a red carpet at a formal event. She is wearing a long, flowing red gown with a high slit on the side. The gown has a sweetheart neckline and is made up of multiple layers of ruffles and layers of fabric. The skirt of the gown is full and flows down to the floor. The woman is standing with one hand on her hip and the other resting on her thigh. She has her hair styled in loose waves and is wearing dramatic makeup with dark eyeliner and red lipstick. In the background, there are photographers and photographers taking pictures of the event. The sky is blue and there are palm trees in the background."
16,2023-04-23 19:52:12+00:00,tinaabeysekara,save this one 1 white tee 6 effortless looks little homage to the u crew neck tee not sponsored just a good basic,whitetshirtoutfits uniqlo weekendoutfit,2364,71,uniqlo,"The image shows a young woman standing on a sidewalk in front of a white house. She is wearing a white t-shirt, light blue jeans, and white sneakers. She has a black blazer over her shoulders and is carrying a black crossbody bag. Her hair is styled in loose waves and she is wearing sunglasses. The house has a porch with white railings and there are trees and bushes in the background."
17,2023-05-10 19:16:22+00:00,stephaniebroek,me bc before cruise this morning ce cruise era me would have worn this tee with hotpants or just highcut leg bikini bottoms leg warmers hoops trainers and cc logo dumbbells as suggested by,chanelcruise chanelshow,1042,26,chanelofficial virginieviard,"The image shows a young woman standing on a sidewalk, taking a selfie with her phone. She is wearing a black coat over a white t-shirt, black trousers, and black shoes. She has blonde hair styled in loose waves and is wearing sunglasses. The background shows a street with cars and buildings. The woman is standing in front of a white door and appears to be in a hurry."
18,2023-05-14 18:43:00+00:00,stephaniebroek,new level in life unlocked motherhood thank you for making me a mother when i least expected it the most curious giggly expressive little girl wearing her future heirloom the tiffany lock bracelet one day it will be hers,tiffanyandco tiffanylock,4162,234,tiffanyandco tiffany_blauw,"The image is a black and white photograph of a young child sitting on a couch. The child is looking up at the camera with a curious expression on their face. They are wearing a black t-shirt and a silver bracelet on their wrist. The woman is holding the child close to her chest and is gently cradling them. The background is blurred, but it appears to be a living room or bedroom. The overall mood of the image is one of love and affection between the child and the woman."
