commentUser,interaction_sequence,posts_sequence,sequence_length
92thestudio,"[{'post_id': 188, 'timestamp': '2023-05-17 14:55:52+00:00', 'polarity': 0.4068}, {'post_id': 216, 'timestamp': '2023-05-21 14:40:26+00:00', 'polarity': 0.7867}, {'post_id': 91, 'timestamp': '2023-05-26 10:07:34+00:00', 'polarity': 0.9502}, {'post_id': 57, 'timestamp': '2023-06-03 12:59:15+00:00', 'polarity': 0.3832}]","[188, 216, 91, 57]",4
_surisingh,"[{'post_id': 369, 'timestamp': '2023-05-18 09:03:58+00:00', 'polarity': 0.1033}, {'post_id': 361, 'timestamp': '2023-05-18 09:04:28+00:00', 'polarity': 0.1033}, {'post_id': 360, 'timestamp': '2023-05-18 09:04:37+00:00', 'polarity': 0.1033}]","[369, 361, 360]",3
_vanessa.riedl,"[{'post_id': 246, 'timestamp': '2023-05-01 13:02:36+00:00', 'polarity': 0.728}, {'post_id': 88, 'timestamp': '2023-05-31 18:19:39+00:00', 'polarity': 0.0514}, {'post_id': 57, 'timestamp': '2023-06-03 21:11:51+00:00', 'polarity': 0.1033}]","[246, 88, 57]",3
_yycc99,"[{'post_id': 69, 'timestamp': '2023-03-08 20:40:04+00:00', 'polarity': 0.7867}, {'post_id': 64, 'timestamp': '2023-04-10 19:01:54+00:00', 'polarity': -0.0321}, {'post_id': 17, 'timestamp': '2023-05-10 21:50:02+00:00', 'polarity': 0.0278}]","[69, 64, 17]",3
adrianericmorales,"[{'post_id': 795, 'timestamp': '2023-02-23 11:56:44+00:00', 'polarity': -0.0105}, {'post_id': 797, 'timestamp': '2023-02-26 22:15:12+00:00', 'polarity': 0.0803}, {'post_id': 792, 'timestamp': '2023-02-28 22:29:16+00:00', 'polarity': 0.0803}]","[795, 797, 792]",3
alantrowe,"[{'post_id': 822, 'timestamp': '2021-01-04 10:38:18+00:00', 'polarity': 0.2468}, {'post_id': 823, 'timestamp': '2021-01-04 10:39:08+00:00', 'polarity': 0.0711}, {'post_id': 815, 'timestamp': '2021-01-09 18:25:13+00:00', 'polarity': 0.0711}, {'post_id': 816, 'timestamp': '2021-01-09 18:26:00+00:00', 'polarity': 0.0711}, {'post_id': 812, 'timestamp': '2021-01-15 06:18:47+00:00', 'polarity': 0.2216}, {'post_id': 819, 'timestamp': '2021-01-15 06:19:13+00:00', 'polarity': 0.2216}, {'post_id': 810, 'timestamp': '2021-02-12 05:55:14+00:00', 'polarity': 0.9305}, {'post_id': 806, 'timestamp': '2021-02-12 05:56:31+00:00', 'polarity': 0.5976}, {'post_id': 757, 'timestamp': '2021-05-07 05:24:50+00:00', 'polarity': 0.2216}, {'post_id': 761, 'timestamp': '2021-05-07 09:36:28+00:00', 'polarity': 0.2267}]","[822, 823, 815, 816, 812, 819, 810, 806, 757, 761]",10
aldrey.ferrari,"[{'post_id': 21, 'timestamp': '2023-06-05 19:25:32+00:00', 'polarity': 0.2267}, {'post_id': 25, 'timestamp': '2023-06-05 19:25:38+00:00', 'polarity': 0.2267}, {'post_id': 26, 'timestamp': '2023-06-05 19:25:45+00:00', 'polarity': 0.2267}]","[21, 25, 26]",3
alemarullo,"[{'post_id': 84, 'timestamp': '2023-05-26 18:10:00+00:00', 'polarity': 0.942}, {'post_id': 91, 'timestamp': '2023-05-26 18:10:41+00:00', 'polarity': 0.208}, {'post_id': 129, 'timestamp': '2023-05-26 18:11:45+00:00', 'polarity': 0.942}, {'post_id': 46, 'timestamp': '2023-06-06 19:27:32+00:00', 'polarity': 0.5274}]","[84, 91, 129, 46]",4
allexclusive.us,"[{'post_id': 442, 'timestamp': '2023-05-24 20:13:22+00:00', 'polarity': 0.3024}, {'post_id': 397, 'timestamp': '2023-06-08 11:02:28+00:00', 'polarity': 0.3024}, {'post_id': 398, 'timestamp': '2023-06-08 11:04:59+00:00', 'polarity': 0.3024}]","[442, 397, 398]",3
allthatglams72,"[{'post_id': 809, 'timestamp': '2023-05-11 20:42:18+00:00', 'polarity': -0.8314}, {'post_id': 809, 'timestamp': '2023-05-11 20:42:42+00:00', 'polarity': -0.04}, {'post_id': 809, 'timestamp': '2023-05-11 20:43:18+00:00', 'polarity': 0.3354}]","[809, 809, 809]",3
