post_id,postUser,timestamp,combined_tokens,likesCount,commentsCount,score_segtiment,keywords_comments,keywords_posts
1,maryleest,2023-06-02 16:34:43+00:00,"['cannes', '2023', 'kilianparis', 'kiliancannes', 'wearing', 'mrselfportrait', 'dress', 'white heart', 'kilian', 'cannes']",32070,142,0.4035,"['please', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heartred_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['fire', 'firefirefire', 'amazing', 'beautiful', 'clapping_hands'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['gorgeous', 'smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","['kilian', 'kilianparis', 'white', 'wearing', 'cannes', 'kiliancannes', '2023', 'dress']"
2,tinaabeysekara,2023-01-01 07:49:16+00:00,"['clock', 'struck', 'midnight', 'ring', '2022', 'cried', 'worst', 'year', 'ever', 'kalu', 'fur', 'bestie', '18', 'years', 'given', 'weeks', 'live', 'terminal', 'cancer', 'diagnosis', 'could', '2022', 'ever', 'recover', 'yet', 'somehow', 'came', 'pretty', 'close', 'year', 'ands', 'grieving', 'landing', 'dream', 'collaborations', 'limiting', 'beliefs', 'growing', 'jewellery', 'brand', 'thetreasurededit', 'anxieties', 'saying', 'yes', 'packing', 'lives', 'moving', 'across', 'world', '🇺🇸', 'thank', 'supporting', 'welcome', '2023', 'new', 'home', 'san', 'francisco', 'emotionally', 'literally', 'person', 'scary', 'freeing', '2023', 'intention', 'lean', 'play', 'adventure', 'leading', 'works', 'mindset', 'excited', 'share', 'ride', 'thank', 'following', 'along', 'happy', 'new', 'year', 'xx', 'woman dancing', 'medium skin tone', 'dizzy', 'medium-dark skin tone', 'grinning face with sweat', 'white heart', 'smiling face with hearts', 'partying face']",6565,86,0.3166666666666667,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['beautiful', 'red_heart', 'amazing', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","['clock', 'thank', '2022', 'midnight', 'face', 'medium', 'year', '2023', 'struck', 'ever']"
3,maryleest,2023-05-29 18:57:51+00:00,"['famous', 'stairs', 'photo', 'gustave_durin', 'dress', 'marmarhalim', 'jewelry', 'yessayan', 'hair', 'balmainhaircouture', 'makeup', 'narsissist', 'brown heart']",28936,123,0.4000000000000001,"['fire', 'love', 'look', 'firefirefire', 'amazing'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['love', 'look', 'smiling_face_with_hearteyes', 'amazing', 'beautiful'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['love', 'look', 'amazing', 'beautiful', 'clapping_hands']","['famous', 'jewelry', 'stairs', 'photo', 'marmarhalim', 'yessayan', 'gustave_durin', 'balmainhaircouture', 'dress', 'brown']"
4,stephaniebroek,2023-03-07 19:30:42+00:00,"['visualized', 'moment', 'many', 'times', 'first', 'chanelofficial', 'show', 'always', 'thought', 'would', 'happen', 'get', 'promoted', 'editor', 'fashion', 'director', 'perhaps', 'editor', 'chief', 'one', 'day', 'quit', 'editor', 'role', 'go', 'freelance', 'attending', 'seemed', 'away', 'ever', 'today', 'dream', 'came', 'true', 'behalf', 'magazine', 'proud', 'moment', 'show', 'magical', 'envisioned', 'invitation', 'grand', 'palais', 'éphémère', 'set', 'larger', 'life', 'camellia', 'models', 'music', 'collection', 'dedicated', 'gabrielle', 'chanel', 'favorite', 'flower', 'hair', 'clips', 'broches', 'prints', 'shoes', 'house', 'emblematic', 'flower', 'everywhere', 'thanks', 'much', 'chanelfallwinter', 'white heart', 'black heart', 'chanel', 'fall', 'winter']",4764,215,0.16888888888888892,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['love', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","['fashion', 'chanel', 'chanelofficial', 'editor', 'moment', 'flower', 'chanelfallwinter', 'show']"
5,maryleest,2023-05-23 21:11:12+00:00,"['got', 'witness', 'historical', 'moment', 'cinema', 'killers', 'flower', 'moon', 'cannes', 'cannesfilmfestival', 'broken heart', 'cannes', 'film', 'festival']",13379,123,0.4010000000000001,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['gorgeous', 'red_heartred_heartred_heart', 'amazing', 'beautiful', 'clapping_hands'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['love', 'smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands'] ['wow', 'beautiful', 'amazing', 'clapping_hands', 'de'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","['historical', 'witness', 'got', 'moment', 'cannes', 'cinema', 'cannesfilmfestival', 'festival', 'killers']"
6,stephaniebroek,2023-06-04 18:15:30+00:00,"['back', 'home', 'mind', 'still', '3']",2690,85,0.20000000000000004,"['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","['mind', 'back', '3', 'home', 'still']"
7,maryleest,2023-05-22 12:33:05+00:00,"['red', 'second', 'cannes', 'film', 'festival', 'red', 'carpet', 'glam', 'thetatithunder', 'narsissist', 'jewelry', 'hassanzadeh_jewelry']",30237,112,0.3766666666666667,"[] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['beautiful', 'smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'smiling_face_with_hearteyes', 'amazing', 'clapping_hands']","['hassanzadeh_jewelry', 'jewelry', 'narsissist', 'cannes', 'second', 'red', 'film', 'festival', 'thetatithunder', 'glam']"
8,stephaniebroek,2023-06-02 15:00:21+00:00,"['last', 'summer', 'lived', 'bymalenebirger', 'kaftans', 'third', 'trimester', 'pregnancy', 'year', 'form', 'quiet', 'luxury', 'baby', 'eg', 'throwing', 'morning', 'swimsuit', 'without', 'thinking', 'knowing', 'look', 'chic', 'day']",978,53,0.12200000000000003,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['wow', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","['quiet', 'lived', 'bymalenebirger', 'chic', 'swimsuit', 'third', 'last', 'pregnancy', 'summer', 'kaftans']"
9,maryleest,2023-05-19 20:20:16+00:00,"['audrey', 'hepburn', 'moment', 'first', '76th', 'cannes', 'film', 'festival', 'dress', 'marmarhalim', 'jewelry', 'hassanzadeh_jewelry', 'shoes', 'gianvitorossi', 'hair', 'balmainhaircouture', 'makeup', 'narsissist', 'campariofficial', 'the_frntal_pr', 'camparicinema', 'two hearts', 'camparicinema']",32123,172,0.47800000000000004,"['wow', 'red_heart', 'amazing', 'beautiful', 'clapping_hands'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","['hassanzadeh_jewelry', 'camparicinema', 'jewelry', 'the_frntal_pr', 'marmarhalim', 'gianvitorossi', 'moment', 'hepburn', 'first', 'cannes', 'audrey', 'balmainhaircouture', 'dress', 'festival']"
10,stephaniebroek,2023-06-01 18:23:18+00:00,"['first', 'mini', 'holiday', 'olive', '3', 'suitcase', 'full', 'parachute', 'pants', 'become', 'integral', 'part', 'mom', 'uniform', 'vintage', 'miu', 'miu']",2277,51,0.3430000000000001,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['gorgeous', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['love', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","['uniform', 'mini', 'first', 'olive', 'miu', 'vintage', 'holiday', 'integral', 'parachute']"
