post_id,postUser,timestamp,clean_caption,combined_tokens,likesCount,commentsCount,keywords_tfidf,keywords_freq,keywords_weighted
1,maryleest,2023-06-02 16:34:43+00:00,cannes 2023 with kilianparis 🤍 kiliancannes wearing mrselfportrait dress,"['cannes', '2023', 'kilianparis', 'kiliancannes', 'wearing', 'mrselfportrait', 'dress', 'white heart', 'kilian', 'cannes']",32070,142,"['cannes', 'wearing', 'dress', 'white', '2023']","['cannes', '2023', 'kilianparis', 'kiliancannes', 'wearing']","['kiliancannes', 'kilianparis', 'cannes', 'kilian', 'wearing']"
2,tinaabeysekara,2023-01-01 07:49:16+00:00,as the clock struck midnight to ring in 2022 i cried that this will be the worst year ever kalu my fur bestie of 18 years had just been given weeks to live after a terminal cancer diagnosis how could 2022 ever recover from that yet somehow it came pretty close it was a year of ands of grieving and landing dream collaborations 💃🏽 of limiting beliefs and growing my jewellery brand thetreasurededit 💫 of anxieties and saying yes to packing up our lives and moving across the world 🇺🇸 thank you for supporting me through it all 🏾 as we welcome 2023 from our new home in san francisco i couldn t be further emotionally and literally 😅 from the person i was scary and freeing 🤍 my 2023 intention is to lean into play and adventure leading with a what if it all works out mindset excited to share the ride with you all thank you for following along 🥰 happy new year 🥳 t xx,"['clock', 'struck', 'midnight', 'ring', '2022', 'cried', 'worst', 'year', 'ever', 'kalu', 'fur', 'bestie', '18', 'years', 'given', 'weeks', 'live', 'terminal', 'cancer', 'diagnosis', 'could', '2022', 'ever', 'recover', 'yet', 'somehow', 'came', 'pretty', 'close', 'year', 'ands', 'grieving', 'landing', 'dream', 'collaborations', 'limiting', 'beliefs', 'growing', 'jewellery', 'brand', 'thetreasurededit', 'anxieties', 'saying', 'yes', 'packing', 'lives', 'moving', 'across', 'world', '🇺🇸', 'thank', 'supporting', 'welcome', '2023', 'new', 'home', 'san', 'francisco', 'emotionally', 'literally', 'person', 'scary', 'freeing', '2023', 'intention', 'lean', 'play', 'adventure', 'leading', 'works', 'mindset', 'excited', 'share', 'ride', 'thank', 'following', 'along', 'happy', 'new', 'year', 'xx', 'woman dancing', 'medium skin tone', 'dizzy', 'medium-dark skin tone', 'grinning face with sweat', 'white heart', 'smiling face with hearts', 'partying face']",6565,86,"['year', '2022', 'ever', 'medium', 'face']","['year', '2022', 'ever', 'thank', '2023']","['2022', '2023', 'clock', 'struck', 'midnight']"
3,maryleest,2023-05-29 18:57:51+00:00,the famous stairs 🤎 photo gustave_durin dress marmarhalim jewelry yessayan hair balmainhaircouture makeup narsissist,"['famous', 'stairs', 'photo', 'gustave_durin', 'dress', 'marmarhalim', 'jewelry', 'yessayan', 'hair', 'balmainhaircouture', 'makeup', 'narsissist', 'brown heart']",28936,123,"['gustave_durin', 'yessayan', 'brown', 'famous', 'marmarhalim']","['famous', 'stairs', 'photo', 'gustave_durin', 'dress']","['dress', 'jewelry', 'balmainhaircouture', 'famous', 'stairs']"
4,stephaniebroek,2023-03-07 19:30:42+00:00,i visualized this moment so many times before my first chanelofficial show i always thought this would happen if when i d get promoted from editor to fashion director or perhaps editor in chief one day but when i quit my editor role to go freelance attending seemed further away than ever today this dream came true not on behalf of a magazine but on my own a very proud moment the show was just as magical as i envisioned the invitation grand palais éphémère the set a larger than life camellia the models the music a collection dedicated to gabrielle chanel s favorite flower hair clips broches prints on shoes the house s emblematic flower was everywhere thanks so much for having me 🤍🖤 chanelfallwinter,"['visualized', 'moment', 'many', 'times', 'first', 'chanelofficial', 'show', 'always', 'thought', 'would', 'happen', 'get', 'promoted', 'editor', 'fashion', 'director', 'perhaps', 'editor', 'chief', 'one', 'day', 'quit', 'editor', 'role', 'go', 'freelance', 'attending', 'seemed', 'away', 'ever', 'today', 'dream', 'came', 'true', 'behalf', 'magazine', 'proud', 'moment', 'show', 'magical', 'envisioned', 'invitation', 'grand', 'palais', 'éphémère', 'set', 'larger', 'life', 'camellia', 'models', 'music', 'collection', 'dedicated', 'gabrielle', 'chanel', 'favorite', 'flower', 'hair', 'clips', 'broches', 'prints', 'shoes', 'house', 'emblematic', 'flower', 'everywhere', 'thanks', 'much', 'chanelfallwinter', 'white heart', 'black heart', 'chanel', 'fall', 'winter']",4764,215,"['editor', 'flower', 'moment', 'chanel', 'show']","['editor', 'moment', 'show', 'chanel', 'flower']","['show', 'chanelofficial', 'chanel', 'chanelfallwinter', 'fashion']"
5,maryleest,2023-05-23 21:11:12+00:00,got to witness such historical moment in cinema killers of the flower moon in cannes 💔 cannesfilmfestival,"['got', 'witness', 'historical', 'moment', 'cinema', 'killers', 'flower', 'moon', 'cannes', 'cannesfilmfestival', 'broken heart', 'cannes', 'film', 'festival']",13379,123,"['cannes', 'cinema', 'historical', 'witness', 'killers']","['cannes', 'got', 'witness', 'historical', 'moment']","['cannes', 'cannesfilmfestival', 'festival', 'got', 'witness']"
6,stephaniebroek,2023-06-04 18:15:30+00:00,back home but my mind is still here 3,"['back', 'home', 'mind', 'still', '3']",2690,85,"['mind', 'home', 'still', 'back']","['back', 'home', 'mind', 'still', '3']","['back', 'home', 'mind', 'still', '3']"
7,maryleest,2023-05-22 12:33:05+00:00,red for my second cannes film festival red carpet glam by thetatithunder narsissist jewelry hassanzadeh_jewelry,"['red', 'second', 'cannes', 'film', 'festival', 'red', 'carpet', 'glam', 'thetatithunder', 'narsissist', 'jewelry', 'hassanzadeh_jewelry']",30237,112,"['red', 'glam', 'thetatithunder', 'hassanzadeh_jewelry', 'narsissist']","['red', 'second', 'cannes', 'film', 'festival']","['cannes', 'festival', 'jewelry', 'hassanzadeh_jewelry', 'red']"
8,stephaniebroek,2023-06-02 15:00:21+00:00,last summer i lived in bymalenebirger s kaftans during the third trimester of my pregnancy this year it s my form of quiet luxury with a baby eg just throwing it on in the morning over my swimsuit without thinking and knowing i ll look chic all day,"['last', 'summer', 'lived', 'bymalenebirger', 'kaftans', 'third', 'trimester', 'pregnancy', 'year', 'form', 'quiet', 'luxury', 'baby', 'eg', 'throwing', 'morning', 'swimsuit', 'without', 'thinking', 'knowing', 'look', 'chic', 'day']",978,53,"['lived', 'pregnancy', 'quiet', 'swimsuit', 'third']","['last', 'summer', 'lived', 'bymalenebirger', 'kaftans']","['chic', 'last', 'summer', 'lived', 'bymalenebirger']"
9,maryleest,2023-05-19 20:20:16+00:00,my audrey hepburn moment on the first 76th cannes film festival 💕 dress marmarhalim jewelry hassanzadeh_jewelry shoes gianvitorossi hair balmainhaircouture makeup narsissist campariofficial the_frntal_pr camparicinema,"['audrey', 'hepburn', 'moment', 'first', '76th', 'cannes', 'film', 'festival', 'dress', 'marmarhalim', 'jewelry', 'hassanzadeh_jewelry', 'shoes', 'gianvitorossi', 'hair', 'balmainhaircouture', 'makeup', 'narsissist', 'campariofficial', 'the_frntal_pr', 'camparicinema', 'two hearts', 'camparicinema']",32123,172,"['gianvitorossi', 'hassanzadeh_jewelry', 'marmarhalim', 'the_frntal_pr', 'balmainhaircouture']","['camparicinema', 'audrey', 'hepburn', 'moment', 'first']","['cannes', 'festival', 'dress', 'jewelry', 'hassanzadeh_jewelry']"
10,stephaniebroek,2023-06-01 18:23:18+00:00,first mini holiday with olive 3 and a suitcase full of parachute pants that have become an integral part of my mom uniform vintage miu miu,"['first', 'mini', 'holiday', 'olive', '3', 'suitcase', 'full', 'parachute', 'pants', 'become', 'integral', 'part', 'mom', 'uniform', 'vintage', 'miu', 'miu']",2277,51,"['miu', 'integral', 'parachute', 'uniform', 'holiday']","['miu', 'first', 'mini', 'holiday', 'olive']","['miu', 'vintage', 'first', 'mini', 'holiday']"
