post_id,postUser,timestamp,likesCount,commentsCount,keywords_posts
1,maryleest,2023-06-02 16:34:43+00:00,32070,142,"['cannes', 'dress', 'kiliancannes', 'wearing', 'sparkles']"
2,tinaabeysekara,2023-01-01 07:49:16+00:00,6565,86,"['clock', 'struck', 'midnight', 'ring', 'cried']"
3,maryleest,2023-05-29 18:57:51+00:00,28936,123,"['dress', 'famous', 'stairs', 'photo', 'jewelry']"
4,stephaniebroek,2023-03-07 19:30:42+00:00,4764,215,"['show', 'chanel', 'fashion', 'visualized', 'moment', 'many', 'times', 'first', 'collection']"
5,maryleest,2023-05-23 21:11:12+00:00,13379,123,"['cannes', 'cannesfilmfestival', 'got', 'witness', 'historical', 'moment', 'cinema']"
6,stephaniebroek,2023-06-04 18:15:30+00:00,2690,85,"['back', 'home', 'mind', 'still', 'no_hashtag']"
7,maryleest,2023-05-22 12:33:05+00:00,30237,112,"['cannes', 'festival', 'red', 'second', 'film', 'jewelry']"
8,stephaniebroek,2023-06-02 15:00:21+00:00,978,53,"['chic', 'last', 'summer', 'lived', 'kaftans', 'third', 'look']"
9,maryleest,2023-05-19 20:20:16+00:00,32123,172,"['cannes', 'festival', 'dress', 'audrey', 'hepburn', 'moment', 'first', 'th', 'jewelry']"
10,stephaniebroek,2023-06-01 18:23:18+00:00,2277,51,"['miu', 'first', 'mini', 'holiday', 'olive', 'suitcase', 'pants', 'vintage']"
11,maryleest,2023-05-26 12:43:54+00:00,27133,144,"['cannes', 'dress', 'last', 'red', 'carpet', 'asteroid', 'jewelry']"
12,stephaniebroek,2023-05-31 18:38:50+00:00,725,30,"['villa', 'magnan', 'no_hashtag']"
13,stephaniebroek,2023-05-23 18:51:43+00:00,1618,37,"['feminine', 'urge', 'reinvent', 'change', 'seasons', 'clothing', 'jacket']"
14,stephaniebroek,2023-05-24 18:27:22+00:00,1271,47,"['never', 'searching', 'perfect', 'jeans', 'add']"
15,maryleest,2023-05-23 10:49:35+00:00,31144,163,"['cannes', 'festival', 'couture', 'dress', 'wearing', 'custom', 'flower', 'jewelry']"
16,tinaabeysekara,2023-04-23 19:52:12+00:00,2364,71,"['save', 'one', 'white', 'tee', 'effortless']"
17,stephaniebroek,2023-05-10 19:16:22+00:00,1042,26,"['bc', 'cruise', 'morning', 'ce', 'era']"
18,stephaniebroek,2023-05-14 18:43:00+00:00,4162,234,"['new', 'level', 'life', 'unlocked', 'motherhood']"
19,stephaniebroek,2023-05-07 18:25:02+00:00,1396,44,"['caprani', 'no_hashtag']"
20,stephaniebroek,2023-05-05 14:37:51+00:00,1804,47,"['something', 'blue', 'no_hashtag']"
21,gisele,2023-05-21 18:55:47+00:00,360447,2720,"['gala', 'used', 'think', 'make', 'difference', 'one']"
22,gisele,2023-06-05 14:49:32+00:00,420347,2504,"['mother', 'nature', 'greatest', 'teacher', 'shows']"
23,gisele,2023-05-14 22:12:36+00:00,634005,2259,"['happy', 'mother', 'day', 'mom', 'infinite']"
24,gisele,2023-05-02 19:32:40+00:00,1343038,16342,"['gala', 'back', 'met', 'honor', 'karl']"
25,gisele,2023-05-04 16:43:31+00:00,641945,5461,"['ready', 'summer', 'new', 'campaign', 'jimmychoo']"
26,gisele,2023-04-26 18:23:39+00:00,115366,1446,"['words', 'express', 'gratitude', 'places', 'like']"
27,rhyancaminske,2023-06-02 01:50:26+00:00,206,21,"['streetstyle', 'happy', 'june', 'loving', 'amazon', 'tanks']"
28,rhyancaminske,2023-05-15 02:06:35+00:00,209,10,"['ones', 'call', 'mom', 'no_hashtag']"
29,rhyancaminske,2023-05-30 00:21:55+00:00,171,6,['no_hashtag']
30,rhyancaminske,2023-05-17 12:36:01+00:00,122,13,"['streetstyle', 'conference', 'things', 'ton', 'talking', 'walking', 'pants']"
31,rhyancaminske,2023-06-05 17:44:13+00:00,101,11,"['wear', 'streetstyle', 'mondays', 'great', 'love', 'job', 'new']"
32,rhyancaminske,2023-05-18 17:17:20+00:00,124,9,"['one', 'best', 'parts', 'dc', 'week']"
33,rhyancaminske,2023-04-21 01:58:57+00:00,174,9,"['streetstyle', 'tbt', 'dinner', 'dates', 'favorite', 'food']"
34,rhyancaminske,2023-05-15 02:02:44+00:00,126,3,"['happy', 'mother', 'day', 'wishing', 'mom']"
35,rhyancaminske,2023-04-16 14:27:10+00:00,146,13,"['ab', 'workouts', 'loving', 'normally', 'hate', 'look']"
36,rhyancaminske,2023-05-02 18:53:40+00:00,102,7,"['𝕞𝕠𝕟𝕥𝕙', 'progress', 'update', 'hair', 'supplements']"
37,rhyancaminske,2023-04-17 18:43:30+00:00,135,10,"['streetstyle', 'well', 'since', 'jeans', 'big', 'hit']"
38,rhyancaminske,2023-04-20 01:39:11+00:00,132,7,"['dress', 'streetstyle', 'take', 'back', 'warm', 'weather', 'tshirt', 'shirt']"
39,gisele,2023-04-18 14:59:12+00:00,362493,4089,"['nova', 'campanha', 'new', 'vivara', 'campaign']"
40,stephaniebroek,2023-05-21 17:52:26+00:00,1349,42,"['ballet', 'flats', 'parachute', 'pants', 'elite', 'jacket']"
41,carodaur,2023-06-03 12:25:54+00:00,25002,809,"['comment', 'fav', 'look', 'handshake', 'no_hashtag']"
42,carodaur,2023-06-04 19:27:37+00:00,35122,137,"['last', 'week', 'daurdump']"
43,carodaur,2023-05-30 09:58:36+00:00,52006,282,"['last', 'week', 'daurdump']"
44,camilacoelho,2023-05-29 18:14:32+00:00,101242,284,"['race', 'weekend', 'fmonaco', 'grew', 'like']"
45,camilacoelho,2023-05-27 16:11:39+00:00,158048,744,"['cannes', 'riviera', 'golden', 'hour', 'ootd']"
46,josefinehj,2023-06-06 16:21:47+00:00,11234,47,['no_hashtag']
47,dolcegabbana_beauty,2023-05-08 13:00:13+00:00,12719,284,"['feeling', 'dgsummervibes', 'idyllic', 'capri', 'setting']"
48,aimeesong,2023-05-08 19:50:46+00:00,19844,213,"['grateful', 'mothersday', 'tiffanypartner']"
49,camilacoelho,2023-05-14 18:40:24+00:00,125312,421,"['runway', 'dress', 'first', 'mother', 'day', 'still', 'pinch', 'watch']"
50,camilacoelho,2023-05-07 16:57:17+00:00,270901,823,"['race', 'weekend', 'mood', 'ootn', 'fim']"
51,camilacoelho,2023-05-23 22:12:43+00:00,137836,733,"['cannes', 'riviera', 'touchdown', 'look', 'ad']"
52,camilacoelho,2023-05-13 19:08:25+00:00,356527,652,"['months', 'ago', 'till', 'biggest', 'dream']"
53,camilacoelho,2023-05-07 23:55:16+00:00,338678,981,"['let', 'race', 'thanks', 'epic', 'day']"
54,everyday.holly,2023-06-04 22:48:49+00:00,1308,385,"['outfit', 'happy', 'sunday', 'last', 'weeks', 'top', 'tiktok look', 'outfit picture']"
55,everyday.holly,2023-05-28 15:12:41+00:00,1009,255,"['outfit', 'happy', 'sunday', 'last', 'weeks', 'top', 'outfit picture', 'tiktok look']"
56,lojafashioncloset,2023-06-05 13:49:24+00:00,118,4,"['se', 'esfriar', 'gente', 'já', 'escolheu']"
57,josefinehj,2023-06-01 15:26:54+00:00,11328,66,"['pj', 'suede', 'no_hashtag']"
58,josefinehj,2023-06-02 13:10:53+00:00,4864,25,['no_hashtag']
59,lojafashioncloset,2023-05-30 15:56:19+00:00,648,9,"['tá', 'nosso', 'drop', 'fshn', 'trip']"
60,lojafashioncloset,2023-06-02 15:42:27+00:00,479,7,"['fshnlook', 'ela', 'usa', 'calça', 'fshn']"
61,lojafashioncloset,2023-05-29 00:07:00+00:00,350,9,"['fashion', 'fshn', 'trip', 'nosso', 'novo', 'drop']"
62,stephaniebroek,2023-04-20 18:47:30+00:00,2306,63,"['love', 'anonymous', 'anti', 'bag', 'sac']"
63,stephaniebroek,2023-04-26 18:23:59+00:00,1135,108,"['wear', 'dress', 'chic', 'tuxedo', 'think', 'kempner', 'famously', 'jacket', 'pants']"
64,stephaniebroek,2023-04-10 18:37:24+00:00,427,13,"['paris', 'plan', 'de', 'diorss', 'diorss23']"
65,stephaniebroek,2023-04-06 18:36:35+00:00,1802,25,"['months', 'later', 'still', 'thinking', 'no_hashtag']"
66,stephaniebroek,2023-03-22 19:12:35+00:00,899,47,"['fashion', 'favorite', 'widow', 'no_hashtag']"
67,stephaniebroek,2023-03-30 18:33:39+00:00,3462,79,"['march', 'camera', 'roll', 'month', 'old']"
68,stephaniebroek,2023-03-26 18:51:51+00:00,1897,44,"['offwhite', 'weekend', 'museum', 'fit', 'tuxedo', 'trousers', 'bag', 'collection']"
69,stephaniebroek,2023-03-08 20:17:02+00:00,891,20,"['paris', 'fashion', 'last', 'year', 'fortunate', 'enough', 'visit', 'collection']"
70,stephaniebroek,2023-03-21 19:10:16+00:00,1821,93,"['pov', 'new', 'store', 'obsessing', 'icey', 'vintage']"
71,stephaniebroek,2023-03-19 19:29:55+00:00,1390,54,"['wear', 'summer', 'cosplay', 'home', 'ss', 'weather', 'shorts']"
72,gisele,2023-03-22 12:09:04+00:00,359437,4552,"['new', 'styled', 'thank', 'michelle', 'ruiz']"
73,marianodivaio,2023-05-19 11:08:17+00:00,78977,538,"['many', 'times', 'week', 'train', 'changed']"
74,marianodivaio,2023-05-27 17:56:03+00:00,109884,1542,"['really', 'words', 'thing', 'say', 'thank']"
75,marianodivaio,2023-05-28 08:17:07+00:00,59519,642,"['merci', 'mdvfoundation', 'missionafrica', 'jesusisking', 'ph']"
76,marianodivaio,2023-05-15 12:02:09+00:00,60932,274,"['blast', 'playing', 'golf', 'golfswing', 'golfaddict']"
77,gisele,2023-02-14 14:17:38+00:00,537505,4704,"['pure', 'love', 'convinced', 'little', 'angels']"
78,gisele,2022-12-18 13:14:51+00:00,1637385,14271,"['recharging', 'little', 'ones', 'country', 'recarregando']"
79,gisele,2022-12-27 13:08:57+00:00,1158317,10326,"['meu', 'rio', 'grande', 'sul', 'céu']"
80,gisele,2023-02-20 20:58:40+00:00,1559091,20397,"['foi', 'muito', 'especial', 'voltar', 'ao']"
81,rhyancaminske,2023-04-11 00:47:33+00:00,130,1,"['streetstyle', 'finally', 'seeing', 'signs', 'spring', 'even']"
82,josefinehj,2023-05-29 10:28:32+00:00,10087,62,['no_hashtag']
83,rhyancaminske,2023-03-26 14:31:20+00:00,184,8,"['streetstyle', 'sunday', 'vibes', 'favorite', 'lounge', 'bra']"
84,josefinehj,2023-05-26 17:13:16+00:00,3913,16,"['small', 'things', 'found', 'beautiful', 'italy', 'paris fashion']"
85,rhyancaminske,2023-03-22 17:58:22+00:00,206,10,"['hair', 'healing', 'journey', 'mentioned', 'stories']"
86,rhyancaminske,2023-03-20 17:04:46+00:00,149,6,"['spent', 'weekend', 'family', 'met', 'new']"
87,rhyancaminske,2023-04-15 20:52:27+00:00,86,10,"['dress', 'outfit', 'streetstyle', 'getting', 'ready', 'date', 'night', 'last']"
