post_id,timestamp,postUser,caption,hashtags,likesCount,commentsCount,important_words,consolidated_text
1,2023-06-02 16:34:43+00:00,maryleest,Cannes 2023 with @kilianparis 🤍 #KilianCannes Wearing @mrselfportrait dress ✨,KilianCannes,32070,142,"['smiling_face_with_heart', 'eyes', 'fire', 'red_heart', 'cannes']",cannes with kilianparis white_heart kiliancannes wearing mrselfportrait dress sparkles i have a proposal for u send me a dm please woaaaah smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes red_heart red_heart red_heart smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes so glad you made it kilianparis fire fire fire this is perfection smiling_face_with_heart eyes the best ever fire you re so gorgeous smiling_face_with_heart eyes stunning as usual red_heart KilianCannes
2,2023-01-01 07:49:16+00:00,tinaabeysekara,"As the clock struck midnight to ring in 2022, I cried that ‘this will be the worst year ever’.   Kalu, my fur bestie of 18 years, had just been given weeks to live after a terminal cancer diagnosis. How could 2022 ever recover from that?  Yet somehow it came pretty close.  It was a year of ‘ands’… of grieving and landing dream collaborations 💃🏽, of limiting beliefs and growing my jewellery brand @thetreasurededit 💫, of anxieties and saying yes to packing up our lives and moving across the world 🇺🇸. Thank you for supporting me through it all 🫶🏾.  As we welcome 2023 from our new home in San Francisco I couldn’t be further (emotionally and literally 😅) from the person I was.  Scary…AND freeing 🤍.  My 2023 intention is to lean into play and adventure, leading with a ‘what if it all works out?’ mindset.  Excited to share the ride with you all, thank you for following along 🥰  Happy New Year 🥳  T xx",,6565,86,"['year', 'and', 'all', 'to', 'of']",as the clock struck midnight to ring in i cried that this will be the worst year ever kalu my fur bestie of years had just been given weeks to live after a terminal cancer diagnosis how could ever recover from that yet somehow it came pretty close it was a year of ands of grieving and landing dream collaborations woman_dancing_medium_skin_tone of limiting beliefs and growing my jewellery brand thetreasurededit dizzy of anxieties and saying yes to packing up our lives and moving across the world united_states thank you for supporting me through it all heart_hands_medium dark_skin_tone as we welcome from our new home in san francisco i couldn t be further emotionally and literally grinning_face_with_sweat from the person i was scary and freeing white_heart my intention is to lean into play and adventure leading with a what if it all works out mindset excited to share the ride with you all thank you for following along smiling_face_with_hearts happy new year partying_face t xx hey tina i just want to make sure you got my message all the colors these are stunning how did moccona get your home address though so pretty smiling_face_with_heart eyes just caught up on this beautiful words red_heart cristinadalton 
3,2023-05-29 18:57:51+00:00,maryleest,The famous stairs 🤎 Photo @gustave_durin   Dress @marmarhalim Jewelry @yessayan Hair @balmainhaircouture Makeup @narsissist,,28936,123,"['look', 'this', 'fire', 'love', 'broken_heart']",the famous stairs brown_heart photo gustave_durin dress marmarhalim jewelry yessayan hair balmainhaircouture makeup narsissist love this monochrome look fire fire fire smiling_face_with_heart eyes mary this is incredible smiling_face_with_heart eyes the drama fire love this look smiling_face_with_heart eyes white_heart red_heart red_heart broken_heart love this look 
4,2023-03-07 19:30:42+00:00,stephaniebroek,"I visualized this moment so many times before. My first @chanelofficial show. I always thought this would happen if/when I’d get promoted from editor to fashion director, or perhaps editor-in-chief one day. But when I quit my editor role to go freelance, attending seemed further away than ever.  Today this dream came true. Not on behalf of a magazine. But on my own. A very proud moment. The show was just as magical as I envisioned. The invitation, Grand Palais Éphémère, the set (a larger than life camellia), the models, the music. A collection dedicated to Gabrielle Chanel’s favorite flower. Hair clips, broches, prints, on shoes: the House’s emblematic flower was everywhere. Thanks so much for having me 🤍🖤 #CHANELFallWinter",CHANELFallWinter,4764,215,"['the', 'butterfly', 'dark_skin_tone', 'moment', 'than']",i visualized this moment so many times before my first chanelofficial show i always thought this would happen if when i d get promoted from editor to fashion director or perhaps editor in chief one day but when i quit my editor role to go freelance attending seemed further away than ever today this dream came true not on behalf of a magazine but on my own a very proud moment the show was just as magical as i envisioned the invitation grand palais ephemere the set a larger than life camellia the models the music a collection dedicated to gabrielle chanel s favorite flower hair clips broches prints on shoes the house s emblematic flower was everywhere thanks so much for having me white_heart black_heart chanelfallwinter ok_hand_medium_skin_tone white_heart smiling_face_with_sunglasses zo terecht you are one of a kind red_heart clapping_hands_medium dark_skin_tone raising_hands_medium dark_skin_tone babe what size are you wearing in the denim butterfly butterfly two_hearts two_hearts white_heart heart_exclamation heart_on_fire tulip collision nice black_heart fire love it red_heart obsessed CHANELFallWinter
5,2023-05-23 21:11:12+00:00,maryleest,Got to witness such historical moment in cinema … «Killers of the flower moon” in Cannes 💔 #CannesFilmFestival,CannesFilmFestival,13379,123,"['broken_heart', 'heart_on_fire', 'so', 'red_heart', 'much']",got to witness such historical moment in cinema killers of the flower moon in cannes broken_heart cannesfilmfestival broken_heart heart_on_fire heart_on_fire heart_on_fire perfect match broken_heart biting_lip gorgeous red_heart red_heart red_heart dreams come true smiling_face_with_heart eyes fire si belle red_heart smiling_face_with_heart eyes love it so much smiling_face_with_heart eyes wow so beautiful hundred_points so elegant and classy fire red suits you so much red_heart CannesFilmFestival
6,2023-06-04 18:15:30+00:00,stephaniebroek,back home but my mind is still here </3,,2690,85,"['olive', 'home', 'still', 'here', 'back']",back home but my mind is still here derde foto smelt smiling_face_with_heart eyes olive smiling_face_with_heart eyes olive red_heart 
7,2023-05-22 12:33:05+00:00,maryleest,Red for my second Cannes Film Festival red carpet ❤️  Glam by @thetatithunder @narsissist  Jewelry @hassanzadeh_jewelry,,30237,112,"['smiling_face_with_heart', 'eyes', 'heart_hands', 'festival', 'red']",red for my second cannes film festival red carpet red_heart glam by thetatithunder narsissist jewelry hassanzadeh_jewelry heart_hands heart_hands heart_hands heart_hands red_heart smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes raising_hands red_heart fire stunning smiling_face_with_heart eyes the queen of cannes festival red_heart can you check direct omg smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes you are so beautiful smiling_face_with_heart eyes 
8,2023-06-02 15:00:21+00:00,stephaniebroek,last summer I lived in @bymalenebirger’s kaftans during the third trimester of my pregnancy. this year it’s my form of quiet luxury with a baby (eg: just throwing it on in the morning over my swimsuit without thinking and knowing I’ll look chic all day),,978,53,"['brown_heart', 'chic', 'my', 'black_heart', 'll']",last summer i lived in bymalenebirger s kaftans during the third trimester of my pregnancy this year it s my form of quiet luxury with a baby eg just throwing it on in the morning over my swimsuit without thinking and knowing i ll look chic all day zo mooi black_heart white_heart red_heart wow ribbon smiling_face_with_heart eyes chic perfect smiling_face_with_heart eyes smiling_face_with_heart eyes brown_heart brown_heart brown_heart mooi red_heart black_heart 
9,2023-05-19 20:20:16+00:00,maryleest,My Audrey Hepburn moment on the first 76th Cannes Film Festival 💕  Dress @marmarhalim Jewelry @hassanzadeh_jewelry Shoes @gianvitorossi Hair @balmainhaircouture Makeup @narsissist  @campariofficial @the_frntal_pr #camparicinema,camparicinema,32123,172,"['clapping_hands', 'struck', 'star', 'smiling_face_with_heart', 'eyes']",my audrey hepburn moment on the first th cannes film festival two_hearts dress marmarhalim jewelry hassanzadeh_jewelry shoes gianvitorossi hair balmainhaircouture makeup narsissist campariofficial the_frntal_pr camparicinema just wow red_heart smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands this is crazy red_heart literally the audrey take a picture take a picture camera_with_flash really talented star struck star struck star struck star struck smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes brilliant chic i proud of u hassanzadeh_jewelry beating_heart red_heart clapping_hands clapping_hands clapping_hands clapping_hands purple_heart light_blue_heart blue_heart green_heart red_heart proud of my country iran red_heart beating_heart smiling_face_with_heart eyes heart_hands dizzy smiling_face_with_heart eyes took my breath away sparkles camparicinema
10,2023-06-01 18:23:18+00:00,stephaniebroek,first mini holiday with olive </3 (and a suitcase full of parachute pants that have become an integral part of my mom uniform + vintage miu miu),,2277,51,"['smiling_face_with_heart', 'eyes', 'green_heart', 'mom', 'black_heart']",first mini holiday with olive and a suitcase full of parachute pants that have become an integral part of my mom uniform vintage miu miu green_heart green_heart green_heart so lush cloud cloud cloud cool mom smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes smiling_face_with_heart eyes black_heart black_heart black_heart white_heart zo chic gorgeous white_heart smiling_face_with_heart eyes love the tabis red_heart red_heart 
