post_id,description,color,category,style,occasion,keywords
1,a white dress with a white blouse and white pants,white,"blouse, dress, pants",business,work,"white, blouse, dress, pants, business, work"
2,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
3,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
4,a pair of jeans with a chanel logo on the side,,jeans,casual,casual outing,"jeans, casual, casual-outing"
5,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
6,a tweed jacket with a tweed jacket and a tweed jacket,,jacket,casual,casual outing,"jacket, casual, casual-outing"
7,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
8,a kimono is a garment that is worn by women,,hat,casual,casual outing,"hat, casual, casual-outing"
9,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
10,a bag is a bag that is used to carry a bag or other item,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
11,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
12,a t-shirt is a garment that is worn by a person to express their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
13,a silver jacket with a sleeveless collar and a sleeveless collar,gray,jacket,casual,casual outing,"gray, jacket, casual, casual-outing, summer"
14,a t-shirt is a garment that is worn by a person to express their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
15,a red dress is a dress that is red in color,red,"dress, hat",elegant,party,"red, dress, hat, elegant, party"
16,a white tee shirt with a white blazer and white jeans,white,"blazer, shirt, jeans",casual,casual outing,"white, blazer, shirt, jeans, casual, casual-outing"
17,a black coat coat is a coat that is long and has a collar,black,"coat, hat",casual,casual outing,"black, coat, hat, casual, casual-outing, winter"
18,a ring is a piece of jewelry that is worn on the finger or wrist,,"jewelry, hat",casual,casual outing,"jewelry, hat, casual, casual-outing"
19,a fashion item is a piece of clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
20,a coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat,,coat,casual,casual outing,"coat, casual, casual-outing, winter"
21,a white dress with a lace top and a slit,white,"dress, top",elegant,party,"white, dress, top, elegant, party, lace"
22,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
23,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
24,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
25,a white dress with a slit and a slit,white,dress,elegant,party,"white, dress, elegant, party"
26,a pair of jeans with a hat and a pair of boots,,"jeans, boots, hat",casual,casual outing,"jeans, boots, hat, casual, casual-outing, winter"
27,a pair of jeans shorts,,"shorts, jeans",casual,casual outing,"shorts, jeans, casual, casual-outing, summer"
28,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
29,a pair of striped shorts and a pair of striped shorts,,shorts,casual,casual outing,"shorts, casual, casual-outing, summer, striped"
30,a pair of khaki pants with a white blouse and a pair of white pants,"white, beige","blouse, pants",business,work,"white, beige, blouse, pants, business, work"
