commentUser,comment_count,polarity,keywords_comments,interaction_sequence,posts_sequence
021_alaniss,1,0.8,"['fire', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 583, 'timestamp': '2023-06-02 21:12:48+00:00', 'polarity': 0.8}]",[583]
100ycientas,1,0.24,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 319, 'timestamp': '2023-03-29 14:42:09+00:00', 'polarity': 0.24}]",[319]
1072.official,1,0.52,"['amazing', 'smiling_face_with_hearteyes', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 65, 'timestamp': '2023-04-07 16:01:24+00:00', 'polarity': 0.52}]",[65]
12maaria34,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 79, 'timestamp': '2023-05-05 21:48:52+00:00', 'polarity': 0.0}]",[79]
130wlifestyle,1,0.6,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 272, 'timestamp': '2023-06-06 01:17:58+00:00', 'polarity': 0.6}]",[272]
148_148_148_148_banglado,1,0.08,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 610, 'timestamp': '2023-05-24 08:40:47+00:00', 'polarity': 0.08}]",[610]
1djun_,1,0.24,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 10, 'timestamp': '2023-06-05 21:49:40+00:00', 'polarity': 0.24}]",[10]
1nstaglancer,1,0.16,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 810, 'timestamp': '2021-02-12 01:29:24+00:00', 'polarity': 0.16}]",[810]
20.04th,1,1.15,"['beautiful', 'smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'smiling_face_with_hearteyes', 'amazing', 'clapping_hands']","[{'post_id': 7, 'timestamp': '2023-05-22 20:09:37+00:00', 'polarity': 1.15}]",[7]
2009_michael28,2,0.26,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 461, 'timestamp': '2023-05-31 09:16:35+00:00', 'polarity': -0.08}, {'post_id': 461, 'timestamp': '2023-05-31 09:16:48+00:00', 'polarity': 0.6}]","[461, 461]"
223355u,1,0.08,"['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 326, 'timestamp': '2023-04-01 00:08:49+00:00', 'polarity': 0.08}]",[326]
28lupo,1,0.4800000000000001,"['fire', 'firefirefire', 'amazing', 'beautiful', 'clapping_hands']","[{'post_id': 195, 'timestamp': '2023-05-11 17:23:54+00:00', 'polarity': 0.4800000000000001}]",[195]
2_2_smoove,1,0.6300000000000001,"['fire', 'firefirefire', 'amazing', 'beautiful', 'clapping_hands']","[{'post_id': 530, 'timestamp': '2023-05-11 01:30:00+00:00', 'polarity': 0.6300000000000001}]",[530]
3496emanuel,1,0.32,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 295, 'timestamp': '2023-04-14 23:57:44+00:00', 'polarity': 0.32}]",[295]
3_time_ironman,1,0.7,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 254, 'timestamp': '2023-02-06 19:51:13+00:00', 'polarity': 0.7}]",[254]
3achour,1,-0.16,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 542, 'timestamp': '2023-02-27 20:11:19+00:00', 'polarity': -0.16}]",[542]
46fatima88,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 750, 'timestamp': '2023-05-02 01:47:47+00:00', 'polarity': 0.0}]",[750]
4dldll,1,0.24,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 541, 'timestamp': '2023-04-21 01:43:17+00:00', 'polarity': 0.24}]",[541]
4f.fd,1,0.85,"['beautiful', 'amazing', 'clapping_hands', 'de', 'fire']","[{'post_id': 618, 'timestamp': '2023-03-19 09:30:07+00:00', 'polarity': 0.85}]",[618]
5xanadu5,1,-0.08,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 172, 'timestamp': '2023-06-06 12:41:22+00:00', 'polarity': -0.08}]",[172]
666innesto,2,0.16,"['fire', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['smiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 384, 'timestamp': '2023-05-23 23:30:06+00:00', 'polarity': 0.16}, {'post_id': 384, 'timestamp': '2023-05-23 23:30:15+00:00', 'polarity': 0.16}]","[384, 384]"
73zinso,1,1.39,"['fire', 'beautiful', 'amazing', 'clapping_hands', 'de']","[{'post_id': 195, 'timestamp': '2023-05-10 18:05:16+00:00', 'polarity': 1.39}]",[195]
772nft,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 453, 'timestamp': '2023-06-08 02:26:38+00:00', 'polarity': 0.0}]",[453]
77mariex,1,0.16,"['red_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 193, 'timestamp': '2023-02-18 18:34:27+00:00', 'polarity': 0.16}]",[193]
7aqsinn,1,0.0,"['please', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 560, 'timestamp': '2023-04-08 03:20:11+00:00', 'polarity': 0.0}]",[560]
7artsublime3,1,0.16,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 540, 'timestamp': '2023-06-04 19:22:56+00:00', 'polarity': 0.16}]",[540]
7jlr,1,0.08,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 541, 'timestamp': '2023-04-21 17:11:04+00:00', 'polarity': 0.08}]",[541]
7y76_lyle,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 609, 'timestamp': '2023-05-31 03:03:47+00:00', 'polarity': 0.0}]",[609]
888karar,1,0.32,"['smiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 551, 'timestamp': '2023-04-25 15:17:45+00:00', 'polarity': 0.32}]",[551]
8989cha,1,0.08,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 12, 'timestamp': '2023-06-02 18:35:13+00:00', 'polarity': 0.08}]",[12]
92thestudio,4,0.385,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['gorgeous', 'smiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['smiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 188, 'timestamp': '2023-05-17 14:55:52+00:00', 'polarity': 0.24}, {'post_id': 216, 'timestamp': '2023-05-21 14:40:26+00:00', 'polarity': 0.4800000000000001}, {'post_id': 91, 'timestamp': '2023-05-26 10:07:34+00:00', 'polarity': 0.74}, {'post_id': 57, 'timestamp': '2023-06-03 12:59:15+00:00', 'polarity': 0.08}]","[188, 216, 91, 57]"
94tago,1,0.08,"['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 444, 'timestamp': '2023-05-21 11:14:13+00:00', 'polarity': 0.08}]",[444]
_.highonfizzle_.rocks._,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 479, 'timestamp': '2023-06-06 16:47:10+00:00', 'polarity': 0.0}]",[479]
