post_id,commentUser,timestamp,polarity,sentiment,keywords_comments,keywords_posts,interaction_sequence
822,alantrowe,2021-01-04 10:38:18+00:00,0.2468,neutral,['green_heart'],"['prada', 'fashion', 'fw', 'vogue', 'italia', 'sep', 'posa', 'fashion vintageprada']","[{'post_id': 822, 'timestamp': Timestamp('2021-01-04 10:38:18+0000', tz='UTC'), 'polarity': 0.2468}, {'post_id': 823, 'timestamp': Timestamp('2021-01-04 10:39:08+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 815, 'timestamp': Timestamp('2021-01-09 18:25:13+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 816, 'timestamp': Timestamp('2021-01-09 18:26:00+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 812, 'timestamp': Timestamp('2021-01-15 06:18:47+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 819, 'timestamp': Timestamp('2021-01-15 06:19:13+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 810, 'timestamp': Timestamp('2021-02-12 05:55:14+0000', tz='UTC'), 'polarity': 0.9305}, {'post_id': 806, 'timestamp': Timestamp('2021-02-12 05:56:31+0000', tz='UTC'), 'polarity': 0.5976}, {'post_id': 757, 'timestamp': Timestamp('2021-05-07 05:24:50+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 761, 'timestamp': Timestamp('2021-05-07 09:36:28+0000', tz='UTC'), 'polarity': 0.2267}]"
823,alantrowe,2021-01-04 10:39:08+00:00,0.0711,neutral,['heart_suit'],"['prada', 'fashion', 'fw', 'vogue', 'italia', 'sep', 'posa', 'fashion vintageprada']","[{'post_id': 822, 'timestamp': Timestamp('2021-01-04 10:38:18+0000', tz='UTC'), 'polarity': 0.2468}, {'post_id': 823, 'timestamp': Timestamp('2021-01-04 10:39:08+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 815, 'timestamp': Timestamp('2021-01-09 18:25:13+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 816, 'timestamp': Timestamp('2021-01-09 18:26:00+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 812, 'timestamp': Timestamp('2021-01-15 06:18:47+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 819, 'timestamp': Timestamp('2021-01-15 06:19:13+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 810, 'timestamp': Timestamp('2021-02-12 05:55:14+0000', tz='UTC'), 'polarity': 0.9305}, {'post_id': 806, 'timestamp': Timestamp('2021-02-12 05:56:31+0000', tz='UTC'), 'polarity': 0.5976}, {'post_id': 757, 'timestamp': Timestamp('2021-05-07 05:24:50+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 761, 'timestamp': Timestamp('2021-05-07 09:36:28+0000', tz='UTC'), 'polarity': 0.2267}]"
822,thedramatiara,2021-01-05 20:29:21+00:00,-0.0089,neutral,['heart_with_arrow'],"['prada', 'fashion', 'fw', 'vogue', 'italia', 'sep', 'posa', 'fashion vintageprada']","[{'post_id': 822, 'timestamp': Timestamp('2021-01-05 20:29:21+0000', tz='UTC'), 'polarity': -0.0089}]"
811,wellingthon_lessa,2021-01-08 17:24:27+00:00,-0.0477,neutral,"['desfile', 'em', 'e', 'que', 'duas']","['prada', 'style', 'fashion', 'fw', 'vogue', 'italia', 'oct', 'non', 'fashion vintageprada']","[{'post_id': 811, 'timestamp': Timestamp('2021-01-08 17:24:27+0000', tz='UTC'), 'polarity': -0.0477}]"
816,manzanidap,2021-01-08 18:20:58+00:00,-0.0225,neutral,"['esta', 'es']","['prada', 'style', 'fashion', 'fw', 'vogue', 'italia', 'oct', 'non', 'fashion vintageprada']","[{'post_id': 816, 'timestamp': Timestamp('2021-01-08 18:20:58+0000', tz='UTC'), 'polarity': -0.0225}]"
811,tubavalon,2021-01-08 20:49:04+00:00,-0.5465,negative,"['shoot', 'know']","['prada', 'style', 'fashion', 'fw', 'vogue', 'italia', 'oct', 'non', 'fashion vintageprada']","[{'post_id': 811, 'timestamp': Timestamp('2021-01-08 20:49:04+0000', tz='UTC'), 'polarity': -0.5465}]"
815,this_ones_in_love,2021-01-08 21:22:35+00:00,0.9861,positive,"['story', 'thank', 'best']","['prada', 'style', 'fashion', 'fw', 'vogue', 'italia', 'oct', 'non', 'fashion vintageprada']","[{'post_id': 815, 'timestamp': Timestamp('2021-01-08 21:22:35+0000', tz='UTC'), 'polarity': 0.9861}]"
816,gggutinho,2021-01-09 02:13:48+00:00,0.842,positive,"['silver', 'skirt', 'wow']","['prada', 'style', 'fashion', 'fw', 'vogue', 'italia', 'oct', 'non', 'fashion vintageprada']","[{'post_id': 816, 'timestamp': Timestamp('2021-01-09 02:13:48+0000', tz='UTC'), 'polarity': 0.842}]"
815,alantrowe,2021-01-09 18:25:13+00:00,0.0711,neutral,['heart_suit'],"['prada', 'style', 'fashion', 'fw', 'vogue', 'italia', 'oct', 'non', 'fashion vintageprada']","[{'post_id': 822, 'timestamp': Timestamp('2021-01-04 10:38:18+0000', tz='UTC'), 'polarity': 0.2468}, {'post_id': 823, 'timestamp': Timestamp('2021-01-04 10:39:08+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 815, 'timestamp': Timestamp('2021-01-09 18:25:13+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 816, 'timestamp': Timestamp('2021-01-09 18:26:00+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 812, 'timestamp': Timestamp('2021-01-15 06:18:47+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 819, 'timestamp': Timestamp('2021-01-15 06:19:13+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 810, 'timestamp': Timestamp('2021-02-12 05:55:14+0000', tz='UTC'), 'polarity': 0.9305}, {'post_id': 806, 'timestamp': Timestamp('2021-02-12 05:56:31+0000', tz='UTC'), 'polarity': 0.5976}, {'post_id': 757, 'timestamp': Timestamp('2021-05-07 05:24:50+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 761, 'timestamp': Timestamp('2021-05-07 09:36:28+0000', tz='UTC'), 'polarity': 0.2267}]"
816,alantrowe,2021-01-09 18:26:00+00:00,0.0711,neutral,['heart_suit'],"['prada', 'style', 'fashion', 'fw', 'vogue', 'italia', 'oct', 'non', 'fashion vintageprada']","[{'post_id': 822, 'timestamp': Timestamp('2021-01-04 10:38:18+0000', tz='UTC'), 'polarity': 0.2468}, {'post_id': 823, 'timestamp': Timestamp('2021-01-04 10:39:08+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 815, 'timestamp': Timestamp('2021-01-09 18:25:13+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 816, 'timestamp': Timestamp('2021-01-09 18:26:00+0000', tz='UTC'), 'polarity': 0.0711}, {'post_id': 812, 'timestamp': Timestamp('2021-01-15 06:18:47+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 819, 'timestamp': Timestamp('2021-01-15 06:19:13+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 810, 'timestamp': Timestamp('2021-02-12 05:55:14+0000', tz='UTC'), 'polarity': 0.9305}, {'post_id': 806, 'timestamp': Timestamp('2021-02-12 05:56:31+0000', tz='UTC'), 'polarity': 0.5976}, {'post_id': 757, 'timestamp': Timestamp('2021-05-07 05:24:50+0000', tz='UTC'), 'polarity': 0.2216}, {'post_id': 761, 'timestamp': Timestamp('2021-05-07 09:36:28+0000', tz='UTC'), 'polarity': 0.2267}]"
