post_id,commentUser,timestamp,polarity,sentiment,keywords_posts,interaction_sequence,description,color,category,style,occasion,keywords
1,wilsonjunior5055,2023-06-05 12:27:24+00:00,0.2074,neutral,"['cannes', 'dress', 'kiliancannes', 'wearing', 'sparkles']","[{'post_id': 14, 'timestamp': Timestamp('2023-05-31 16:42:23+0000', tz='UTC'), 'polarity': 0.0963}, {'post_id': 1, 'timestamp': Timestamp('2023-06-05 12:27:24+0000', tz='UTC'), 'polarity': 0.2074}]",a white dress with a white blouse and white pants,white,"blouse, dress, pants",business,work,"white, blouse, dress, pants, business, work"
1,sevdalaland,2023-06-04 08:39:28+00:00,0.0278,neutral,"['cannes', 'dress', 'kiliancannes', 'wearing', 'sparkles']","[{'post_id': 1, 'timestamp': Timestamp('2023-06-04 08:39:28+0000', tz='UTC'), 'polarity': 0.0278}]",a white dress with a white blouse and white pants,white,"blouse, dress, pants",business,work,"white, blouse, dress, pants, business, work"
1,grace.hanna92,2023-06-03 22:47:32+00:00,0.9732,positive,"['cannes', 'dress', 'kiliancannes', 'wearing', 'sparkles']","[{'post_id': 1, 'timestamp': Timestamp('2023-06-03 22:47:32+0000', tz='UTC'), 'polarity': 0.9732}]",a white dress with a white blouse and white pants,white,"blouse, dress, pants",business,work,"white, blouse, dress, pants, business, work"
1,vivi__1988,2023-06-03 22:47:21+00:00,0.9289,positive,"['cannes', 'dress', 'kiliancannes', 'wearing', 'sparkles']","[{'post_id': 137, 'timestamp': Timestamp('2023-05-03 20:50:24+0000', tz='UTC'), 'polarity': 0.966}, {'post_id': 1, 'timestamp': Timestamp('2023-06-03 22:47:21+0000', tz='UTC'), 'polarity': 0.9289}]",a white dress with a white blouse and white pants,white,"blouse, dress, pants",business,work,"white, blouse, dress, pants, business, work"
1,stylemesoftly_,2023-06-04 15:44:54+00:00,0.2744,neutral,"['cannes', 'dress', 'kiliancannes', 'wearing', 'sparkles']","[{'post_id': 212, 'timestamp': Timestamp('2023-05-21 13:50:21+0000', tz='UTC'), 'polarity': 0.2744}, {'post_id': 1, 'timestamp': Timestamp('2023-06-04 15:44:54+0000', tz='UTC'), 'polarity': 0.2744}]",a white dress with a white blouse and white pants,white,"blouse, dress, pants",business,work,"white, blouse, dress, pants, business, work"
1,samar.helou1,2023-06-03 22:47:06+00:00,0.9842,positive,"['cannes', 'dress', 'kiliancannes', 'wearing', 'sparkles']","[{'post_id': 1, 'timestamp': Timestamp('2023-06-03 22:47:06+0000', tz='UTC'), 'polarity': 0.9842}]",a white dress with a white blouse and white pants,white,"blouse, dress, pants",business,work,"white, blouse, dress, pants, business, work"
1,maria.boutros9,2023-06-03 22:46:31+00:00,0.9581,positive,"['cannes', 'dress', 'kiliancannes', 'wearing', 'sparkles']","[{'post_id': 1, 'timestamp': Timestamp('2023-06-03 22:46:31+0000', tz='UTC'), 'polarity': 0.9581}]",a white dress with a white blouse and white pants,white,"blouse, dress, pants",business,work,"white, blouse, dress, pants, business, work"
1,mariavmh,2023-06-04 16:46:34+00:00,0.8857,positive,"['cannes', 'dress', 'kiliancannes', 'wearing', 'sparkles']","[{'post_id': 1, 'timestamp': Timestamp('2023-06-04 16:46:34+0000', tz='UTC'), 'polarity': 0.8857}, {'post_id': 1, 'timestamp': Timestamp('2023-06-04 16:46:40+0000', tz='UTC'), 'polarity': -0.5351}]",a white dress with a white blouse and white pants,white,"blouse, dress, pants",business,work,"white, blouse, dress, pants, business, work"
1,mariavmh,2023-06-04 16:46:40+00:00,-0.5351,negative,"['cannes', 'dress', 'kiliancannes', 'wearing', 'sparkles']","[{'post_id': 1, 'timestamp': Timestamp('2023-06-04 16:46:34+0000', tz='UTC'), 'polarity': 0.8857}, {'post_id': 1, 'timestamp': Timestamp('2023-06-04 16:46:40+0000', tz='UTC'), 'polarity': -0.5351}]",a white dress with a white blouse and white pants,white,"blouse, dress, pants",business,work,"white, blouse, dress, pants, business, work"
1,jillviv,2023-06-04 15:06:03+00:00,0.9805,positive,"['cannes', 'dress', 'kiliancannes', 'wearing', 'sparkles']","[{'post_id': 1, 'timestamp': Timestamp('2023-06-04 15:06:03+0000', tz='UTC'), 'polarity': 0.9805}]",a white dress with a white blouse and white pants,white,"blouse, dress, pants",business,work,"white, blouse, dress, pants, business, work"
2,antgeorgopoulos,2023-02-01 09:11:56+00:00,0.0321,neutral,"['clock', 'struck', 'midnight', 'ring', 'cried']","[{'post_id': 2, 'timestamp': Timestamp('2023-02-01 09:11:56+0000', tz='UTC'), 'polarity': 0.0321}]",a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
2,rolly.mag,2023-02-06 01:44:58+00:00,0.9662,positive,"['clock', 'struck', 'midnight', 'ring', 'cried']","[{'post_id': 2, 'timestamp': Timestamp('2023-02-06 01:44:58+0000', tz='UTC'), 'polarity': 0.9662}]",a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
2,scarlett.jones_95,2023-06-05 11:29:58+00:00,0.1726,neutral,"['clock', 'struck', 'midnight', 'ring', 'cried']","[{'post_id': 2, 'timestamp': Timestamp('2023-06-05 11:29:58+0000', tz='UTC'), 'polarity': 0.1726}]",a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
2,madisonstyleblog,2023-04-16 11:01:27+00:00,0.9567,positive,"['clock', 'struck', 'midnight', 'ring', 'cried']","[{'post_id': 2, 'timestamp': Timestamp('2023-04-16 11:01:27+0000', tz='UTC'), 'polarity': 0.9567}]",a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
2,tropichics,2023-05-08 01:29:45+00:00,0.9768,positive,"['clock', 'struck', 'midnight', 'ring', 'cried']","[{'post_id': 2, 'timestamp': Timestamp('2023-05-08 01:29:45+0000', tz='UTC'), 'polarity': 0.9768}]",a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
2,nabeelageorge,2023-04-23 10:33:41+00:00,-0.0778,neutral,"['clock', 'struck', 'midnight', 'ring', 'cried']","[{'post_id': 2, 'timestamp': Timestamp('2023-04-23 10:33:41+0000', tz='UTC'), 'polarity': -0.0778}]",a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
3,stylesprinter,2023-06-03 01:45:35+00:00,0.9756,positive,"['dress', 'famous', 'stairs', 'photo', 'jewelry']","[{'post_id': 124, 'timestamp': Timestamp('2023-05-20 21:54:25+0000', tz='UTC'), 'polarity': -0.1555}, {'post_id': 124, 'timestamp': Timestamp('2023-05-20 21:54:28+0000', tz='UTC'), 'polarity': -0.0665}, {'post_id': 3, 'timestamp': Timestamp('2023-06-03 01:45:35+0000', tz='UTC'), 'polarity': 0.9756}, {'post_id': 11, 'timestamp': Timestamp('2023-06-03 01:45:57+0000', tz='UTC'), 'polarity': 0.0806}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
3,zaharova_zoya_,2023-05-30 02:28:48+00:00,-0.4402,negative,"['dress', 'famous', 'stairs', 'photo', 'jewelry']","[{'post_id': 3, 'timestamp': Timestamp('2023-05-30 02:28:48+0000', tz='UTC'), 'polarity': -0.4402}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
3,gabrielaaamedinaaa,2023-05-30 06:38:53+00:00,0.9789,positive,"['dress', 'famous', 'stairs', 'photo', 'jewelry']","[{'post_id': 7, 'timestamp': Timestamp('2023-05-22 21:26:07+0000', tz='UTC'), 'polarity': 0.1033}, {'post_id': 3, 'timestamp': Timestamp('2023-05-30 06:38:53+0000', tz='UTC'), 'polarity': 0.9789}]",a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
